,CO,NO2,SO3,O3,PM25,PM10
2017/1/23 0:00,74.67,226.73,212.57,517.53,81.03,98.53
2017/1/23 1:00,75.67,225.17,216,503.83,80.8,97.8
2017/1/23 2:00,77.8,221.07,210.2,495.8,82.3,100.1
2017/1/23 3:00,71.97,222.5,236.6,495.6,73.47,90.6
2017/1/23 4:00,71.67,212.97,278.27,480.6,79.13,97.8
2017/1/23 5:00,75.97,218.02,281,465.53,87.4,106.2
2017/1/23 6:00,70.63,212,301.27,485.83,80.87,102.7
2017/1/23 7:00,71.5,216.87,301.97,483.77,70.5,85.63
2017/1/23 8:00,78.2,230,257.5,512.93,84.93,103.17
2017/1/23 9:00,80.17,219.17,280.1,502.1,100.9,122.27
2017/1/23 10:00,78.47,304.2,347.6,560.47,59.87,68.6
2017/1/23 11:00,74.57,376.8,336.8,651.4,42.67,49.47
2017/1/23 12:00,73.37,393.04,331.04,713.81,37.22,43.15
2017/1/23 13:00,76.86,377.9,308.86,719.55,40.9,48.76
2017/1/23 14:00,88.33,401.83,279.2,724.93,49.9,59.5
2017/1/23 15:00,76.3,417.93,476,772.4,41.1,48.57
2017/1/23 16:00,79.32,400.7,432.9,729.13,41.03,47.93
2017/1/23 17:00,77.735,336.27,323.3,659.1,38.03,45.13
2017/1/23 18:00,66.83,260.2,242.4,568.8,35.83,40.97
2017/1/23 19:00,63.77,234.23,229.33,534.97,42.93,49.2
2017/1/23 20:00,63.83,220.47,220.17,509.63,47.7,54.5
2017/1/23 21:00,63.07,220.6,217.23,514.9,44.37,50.97
2017/1/23 22:00,72.67,231.5,210.17,531.93,48.2,54.93
2017/1/23 23:00,77,217.7,217.17,500.77,59.33,68.43
2017/1/24 0:00,72.83,219.03,217.47,494.27,66.83,76.67
2017/1/24 1:00,72.63,204.17,231.57,455.27,71.97,81.3
2017/1/24 2:00,69.97,196.67,233.6,462.83,73.4,83.27
2017/1/24 3:00,66.1,200.2,236.43,470.43,71.4,80.43
2017/1/24 4:00,64.3,200,224.47,485.63,76.57,85.87
2017/1/24 5:00,67.57,233.87,189.07,542.57,77.03,87.73
2017/1/24 6:00,70.03,225.07,208.6,503.07,93.13,104.3
2017/1/24 7:00,66.83,206.5,226.03,472.03,102.47,115.5
2017/1/24 8:00,71.07,208.23,222.07,482.1,111.73,126.6
2017/1/24 9:00,70.47,197.93,230.8,462.07,110.7,124.77
2017/1/24 10:00,91.73,262.43,205.07,565.4,120.97,136.5
2017/1/24 11:00,86.73,402.57,243.43,751.87,68.23,78.2
2017/1/24 12:00,89.2,446.3,247.27,781.5,59.7,68.23
2017/1/24 13:00,105.57,435.37,231.17,789.93,62.53,70.17
2017/1/24 14:00,111.53,422.37,332.17,800.43,64.17,75.17
2017/1/24 15:00,118.8,434.4,324.17,806.27,67.03,80.17
2017/1/24 16:00,112.2,413.77,285.72,796.83,64.83,76.17
2017/1/24 17:00,112.9,362.53,285.72,738.53,67.63,76.93
2017/1/24 18:00,82.43,272.5,222.47,608.87,71.03,78.93
2017/1/24 19:00,74.7,257.07,195.3,582.07,78.17,88.13
2017/1/24 20:00,72.77,246.43,187.93,549.63,87.93,99
2017/1/24 21:00,77.57,242.83,189.93,554.5,97.93,108.4
2017/1/24 22:00,104.6,306.07,169.03,639.57,127.5,141.33
2017/1/24 23:00,94.6,262.13,201.17,551.2,106.27,118.1
2017/1/25 0:00,97.1,257.33,217.83,527.2,129.7,147.2
2017/1/25 1:00,103.4,285.83,234.3,582.23,141.93,163.6
2017/1/25 2:00,103.23,258.8,239.93,520.87,144.83,165.13
2017/1/25 3:00,103.53,244.6,245.17,521.67,143.73,164.4
2017/1/25 4:00,104.2,226.43,241.83,508.83,156.53,178.2
2017/1/25 5:00,101.8,203.4,229.63,471.8,166.13,189.2
2017/1/25 6:00,102.07,199.3,230.43,457.7,184.3,211.23
2017/1/25 7:00,114.33,210.4,229.2,476.67,198.6,229.07
2017/1/25 8:00,126.67,212.47,242.53,465.83,222.1,253.77
2017/1/25 9:00,131.5,201.3,258.63,461.1,244.57,278.37
2017/1/25 10:00,150.6,252.67,302.53,497.23,235.77,264.63
2017/1/25 11:00,143.7,362.93,297.48,593.13,268.23,297.6
2017/1/25 12:00,143.7,498.73,297.48,709.3,247.43,289.7
2017/1/25 13:00,149.77,579.93,297.48,761.1,174.33,210.3
2017/1/25 14:00,137.63,607.57,292.43,803.97,165.53,198.67
2017/1/25 15:00,137.47,640.73,241.3,826.53,160.6,193.3
2017/1/25 16:00,131.6,594.4,221.37,818.83,159.9,190.33
2017/1/25 17:00,129.9,390,248.23,697.97,164.83,195.1
2017/1/25 18:00,122.67,286.27,233.33,610.03,166.6,191
2017/1/25 19:00,120.4,270.03,207.1,595.53,169.73,189
2017/1/25 20:00,131.2,249,214.63,560.67,205.1,224.53
2017/1/25 21:00,160.2,263.73,213.57,557.7,243.9,269.57
2017/1/25 22:00,153.97,269.77,211.4,558.8,263.6,294.47
