Period,C1,C2,C3,C4,C5
1,61.82,72.73,71.78,66.83,60.42
2,60.17,71.15,71.16,68.62,59.76
3,57.59,71.11,70.25,66.54,59.77
4,56.14,70.23,72.49,69.51,59.7
5,57.6,70.42,77.25,68.98,59.32
6,59.32,68.25,74.66,67.79,56.97
7,59.36,68.31,74.24,69.64,54.88
8,62.35,68.08,73.75,69.05,55.57
9,61.89,68.38,69.87,72.66,56.23
10,63.07,67.88,70.23,76.46,54.64
11,60.92,66.89,69.07,76.64,57.49
12,61.31,66.71,67.71,81.9,57.45
13,61.61,66.85,70.06,80.43,59.8
14,60.4,66.06,71.25,78.62,58.54
15,59.44,65.09,69.47,75.8,61.25
16,60.67,64.67,71.06,72.95,61.6
17,62.38,63.19,69.94,73.66,62.63
18,59.75,61.61,68.29,72.6,60.45
19,58.49,60,67.97,73.99,60.57
20,61.25,60.28,65.34,74.34,63.77
21,62.4,60.43,64.08,72.71,63.88
22,66.61,60.48,62.59,71.53,64.03
23,65.71,63.21,61.57,69.49,65.64
24,65.26,63.58,60.96,69.73,66.87
25,64.69,64.11,64.69,69.05,66.67
26,64.24,63.95,65.93,70.7,67.14
27,66.53,62.53,64.49,64.08,68.43
28,68.6,63.66,66.25,67.88,68.56
29,77.23,64.63,67.65,65.29,66.88
30,80,65.04,69.43,66.81,68.88
31,75.45,63.3,69.35,62.61,69.3
32,73.89,63.92,66.24,63.6,69.53
33,74.38,64.21,67.38,60.83,71.53
34,72.81,66.02,68.02,65.53,68.51
35,72.03,66.12,65.61,65.37,70.51
36,71.72,65.56,69.36,65.35,70.82
