,CO,NO2,SO3,O3,PM25,PM10
2016-11-24 10:00:00,0.8,14.0,5.0,2.0,15.0,18.0
2016-11-24 11:00:00,0.8,14.0,6.0,7.0,15.0,0.0
2016-11-24 12:00:00,0.8,14.0,6.0,20.0,15.0,0.0
2016-11-24 13:00:00,0.8,16.0,5.0,26.0,15.0,18.0
2016-11-24 14:00:00,0.8,17.0,5.0,30.0,15.0,40.0
2016-11-24 15:00:00,0.8,19.0,5.0,30.0,15.0,38.0
2016-11-24 16:00:00,0.8,27.0,7.0,21.0,15.0,38.0
2016-11-24 17:00:00,0.8,29.0,6.0,21.0,15.0,40.0
2016-11-24 18:00:00,0.9,35.0,10.0,7.0,16.0,45.0
2016-11-24 19:00:00,0.9,35.0,8.0,4.0,17.0,57.0
2016-11-24 20:00:00,0.9,34.0,9.0,2.0,18.0,38.0
2016-11-24 21:00:00,0.9,31.0,10.0,1.0,18.0,44.0
2016-11-24 22:00:00,0.8,29.0,8.0,3.0,18.0,30.0
2016-11-24 23:00:00,0.8,28.0,5.0,2.0,18.0,23.0
2016-11-25 00:00:00,0.8,22.0,3.0,9.0,18.0,28.0
2016-11-25 01:00:00,0.7,20.0,2.0,11.0,18.0,0.0
2016-11-25 02:00:00,0.7,18.0,2.0,14.0,18.0,0.0
2016-11-25 03:00:00,0.7,21.0,2.0,10.0,17.0,17.0
2016-11-25 04:00:00,0.7,23.0,2.0,7.0,17.0,0.0
2016-11-25 05:00:00,0.7,22.0,2.0,8.0,17.0,0.0
2016-11-25 06:00:00,0.8,23.0,4.0,6.0,17.0,20.0
2016-11-25 07:00:00,0.9,25.0,6.0,1.0,18.0,33.0
2016-11-25 08:00:00,1.0,25.0,7.0,3.0,18.0,20.0
2016-11-25 09:00:00,0.9,23.0,7.0,4.0,20.0,28.0
2016-11-25 10:00:00,0.9,22.0,8.0,6.0,19.0,30.0
2016-11-25 11:00:00,0.9,18.0,6.0,11.0,17.0,24.0
2016-11-25 12:00:00,0.9,19.0,5.0,14.0,16.0,21.0
2016-11-25 13:00:00,0.9,22.0,5.0,14.0,17.0,28.0
2016-11-25 14:00:00,1.0,23.0,4.0,12.0,20.0,39.0
2016-11-25 15:00:00,1.0,24.0,5.0,11.0,25.0,46.0
2016-11-25 16:00:00,1.0,26.0,8.0,17.0,25.0,38.0
2016-11-25 17:00:00,0.95,28.0,10.0,4.0,24.0,39.0
2016-11-25 18:00:00,0.9,32.0,11.0,2.0,24.0,43.0
2016-11-25 19:00:00,0.9,34.0,12.0,1.0,25.0,42.0
2016-11-25 20:00:00,0.9,33.0,13.0,1.0,25.0,47.0
2016-11-25 21:00:00,0.9,30.0,14.0,1.0,25.0,49.0
2016-11-25 22:00:00,0.8,27.0,14.0,1.0,25.0,48.0
2016-11-25 23:00:00,0.8,29.0,13.0,1.0,25.0,47.0
2016-11-26 00:00:00,0.9,28.0,13.0,1.0,28.0,48.0
2016-11-26 01:00:00,0.8,27.0,12.0,1.0,28.0,43.0
2016-11-26 02:00:00,0.8,25.0,11.0,1.0,25.0,34.0
2016-11-26 03:00:00,0.8,23.0,10.0,1.0,24.0,0.0
2016-11-26 04:00:00,0.7,19.0,6.0,1.0,22.0,22.0
2016-11-26 05:00:00,0.7,14.0,5.0,1.0,21.0,0.0
2016-11-26 06:00:00,0.7,11.0,4.0,1.0,19.0,0.0
2016-11-26 07:00:00,0.7,10.0,3.0,1.0,19.0,0.0
2016-11-26 08:00:00,0.7,8.0,3.0,1.0,18.0,0.0
2016-11-26 09:00:00,0.8,8.0,3.0,2.0,16.0,0.0
2016-11-26 10:00:00,0.8,8.0,2.0,3.0,16.0,0.0
2016-11-26 11:00:00,0.7,7.0,2.0,5.0,15.0,0.0
2016-11-26 12:00:00,0.8,7.0,2.0,5.0,15.0,0.0
2016-11-26 13:00:00,0.8,7.0,2.0,6.0,14.0,0.0
2016-11-26 14:00:00,0.8,7.0,2.0,6.0,13.0,13.0
2016-11-26 15:00:00,0.8,8.0,2.0,7.0,10.0,13.0
2016-11-26 16:00:00,0.9,8.0,2.0,4.0,11.0,0.0
2016-11-26 17:00:00,0.9,9.0,2.0,3.0,11.0,20.0
2016-11-26 18:00:00,0.9,10.0,3.0,1.0,12.0,0.0
2016-11-26 19:00:00,0.9,10.0,3.0,1.0,11.0,26.0
2016-11-26 20:00:00,0.8,11.0,4.0,1.0,12.0,29.0
2016-11-26 21:00:00,0.8,10.0,5.0,3.0,12.0,24.0
2016-11-26 22:00:00,0.8,10.0,7.0,2.0,12.0,21.0
2016-11-26 23:00:00,0.8,11.0,7.0,2.0,13.0,20.0
2016-11-27 00:00:00,0.8,19.0,6.0,2.0,13.0,17.0
2016-11-27 01:00:00,0.8,19.0,7.0,2.0,14.0,22.0
2016-11-27 02:00:00,0.8,17.0,7.0,5.0,14.0,17.0
2016-11-27 03:00:00,0.8,15.0,6.0,9.0,14.0,16.0
2016-11-27 04:00:00,0.8,18.0,7.0,8.0,15.0,23.0
2016-11-27 05:00:00,0.7,15.0,7.0,12.0,15.0,19.0
2016-11-27 06:00:00,0.8,20.0,8.0,9.0,17.0,20.0
2016-11-27 07:00:00,0.8,16.0,10.0,18.0,19.0,31.0
2016-11-27 08:00:00,0.7,19.0,10.0,18.0,19.0,27.0
2016-11-27 09:00:00,0.7,18.0,12.0,23.0,19.0,28.0
2016-11-27 10:00:00,0.7,14.0,10.0,37.0,19.0,28.0
2016-11-27 11:00:00,0.7,13.0,8.0,48.0,19.0,27.0
2016-11-27 12:00:00,0.6,14.0,7.0,57.0,20.0,39.0
2016-11-27 13:00:00,0.6,12.0,7.0,69.0,21.0,43.0
2016-11-27 14:00:00,0.6,12.0,6.0,73.0,21.0,47.0
2016-11-27 15:00:00,0.6,12.0,6.0,77.0,21.0,50.0
2016-11-27 16:00:00,0.6,13.0,7.0,81.0,22.0,51.0
