"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A416121601088","1120.56","850.84","804","1329.68","37.52","40.28","16.04","30.64","2016/12/29 18:00:00","3082.76","1367.44","286.04","23.24"
"2","XH808A416121601088","1083.73","925.7","767.5","1326.2","42.93","46.17","16","32.63","2016/12/29 19:00:00","3433.23","1538.27","330.17","26.3"
"3","XH808A416121601088","1063.57","908.97","776.43","1299.53","38.77","40.97","15.63","33.43","2016/12/29 20:00:00","3171.97","1401.4","294.33","22.17"
"4","XH808A416121601088","1039.72","957.4","761.88","1299.52","43.28","45.56","15","35.12","2016/12/29 21:00:00","3511.92","1564.36","330.64","25.32"
"5","XH808A416121601088","996.5","989.6","756.3","1290.17","49.97","53.13","14.03","38.23","2016/12/29 22:00:00","4033.23","1822.07","383.33","31.47"
"6","XH808A416121601088","957.53","1005.47","723.8","1280.73","48.73","51.57","13.57","38.97","2016/12/29 23:00:00","3827.87","1738","379.23","32.73"
"7","XH808A416121601088","919.43","966","744.3","1237.8","39.53","41.33","13","38.23","2016/12/30","3216.77","1423.8","306.2","24.23"
"8","XH808A416121601088","888.97","1007","723.2","1242.83","40.17","42.57","12.7","39.77","2016/12/30 1:00:00","3278.5","1453.97","314.8","27.03"
"9","XH808A416121601088","869.8","1022.17","715.73","1233.3","45.87","47.93","12","42.5","2016/12/30 2:00:00","3699.87","1680.53","360.47","29.83"
"10","XH808A416121601088","855.53","921.73","789.93","1201.27","42.6","44.57","12","42.27","2016/12/30 3:00:00","3444.7","1544.7","341.8","28.13"
"11","XH808A416121601088","834.47","943","759.43","1203.5","42.43","44.43","11.47","44.67","2016/12/30 4:00:00","3473.83","1554.13","339.43","28.4"
"12","XH808A416121601088","821.7","1057.53","684.4","1237.53","51.17","52.9","11","48.5","2016/12/30 5:00:00","4179.57","1899.5","402.73","33.03"
"13","XH808A416121601088","811.2","1069.77","716.07","1226.37","53.97","55.47","11","49.47","2016/12/30 6:00:00","4344.2","1986.4","428.33","33.8"
"14","XH808A416121601088","804","1060.37","717.57","1209.13","60.23","61.7","10.23","51.33","2016/12/30 7:00:00","4908.13","2231.63","465.97","35.43"
"15","XH808A416121601088","806.97","1008.17","765.47","1191.73","45.47","47.1","10.3","50.33","2016/12/30 8:00:00","3792.37","1692.3","360.1","29.57"
"16","XH808A416121601088","832.6","955.57","766.8","1171.03","41.73","43.53","11.6","47.17","2016/12/30 9:00:00","3496.93","1540.1","333.47","28.27"
"17","XH808A416121601088","866.1","847","834.63","1141.3","40.03","41.7","12.93","42.9","2016/12/30 10:00:00","3327.97","1476.3","311.27","25.7"
"18","XH808A416121601088","920.53","802.03","843.93","1140","36.2","38.07","14.73","38.33","2016/12/30 11:00:00","2997.53","1304.17","281.43","23.2"
"19","XH808A416121601088","958.13","762.4","830.27","1147.2","37.23","39.77","16.07","35.9","2016/12/30 12:00:00","3070.57","1353.3","285.43","23.2"
"20","XH808A416121601088","1012.63","749.6","827.6","1163.03","54.67","59.17","17.57","33.67","2016/12/30 13:00:00","4996.93","2556.87","588.67","46.9"
"21","XH808A416121601088","1098.27","752.97","808.87","1160.57","74.6","84.1","19.67","31.03","2016/12/30 14:00:00","5004.53","2379.03","539.67","43.4"
"22","XH808A416121601088","1114.3","758.43","786.87","1220.17","46.67","50.9","20.37","30.87","2016/12/30 15:00:00","3795.57","1671.43","336.3","25.63"
"23","XH808A416121601088","1128.83","734.93","795.07","1242.9","46.6","51.37","21","30.67","2016/12/30 16:00:00","3786.33","1659.73","333.6","23.9"
"24","XH808A416121601088","1098.1","748.1","796.4","1253.57","44.37","48.2","20.3","31.47","2016/12/30 17:00:00","3612.1","1578.37","320.07","21.4"
"25","XH808A416121601088","1035.27","824.7","797.9","1269.63","55.6","60.93","18.97","34.8","2016/12/30 18:00:00","4552.1","2018.63","411.53","31.1"
"26","XH808A416121601088","973","1050.93","667.93","1310.77","85.43","93.97","17.13","39.47","2016/12/30 19:00:00","6704.97","3071.57","629.93","51.97"
"27","XH808A416121601088","962.63","1177.5","594.6","1394.57","99.9","110.67","16","43.43","2016/12/30 20:00:00","7656.5","3531.47","746.13","64.8"
"28","XH808A416121601088","948.7","1172.43","615.97","1381.13","92.6","104","15.83","46.13","2016/12/30 21:00:00","7093.5","3261.37","709","65.5"
"29","XH808A416121601088","923.9","1148.27","663.9","1346.2","93.07","102.53","15","46.57","2016/12/30 22:00:00","7212.47","3313.33","705.77","62.67"
"30","XH808A416121601088","935.8","1131.57","737.13","1336.53","117.27","125.83","15","48.07","2016/12/30 23:00:00","9186.27","4217.93","862.2","68.3"
"31","XH808A416121601088","964.57","1147.5","837.8","1359.6","140.5","147.37","14.23","52.67","2016/12/31","10905.2","5094.73","1028.17","74.73"
"32","XH808A416121601088","883.6","1159.1","785.3","1391.73","136.07","140.83","14","54.8","2016/12/31 1:00:00","10613","4967.47","1005","69.67"
"33","XH808A416121601088","845.57","1062.17","822.7","1253.5","138.17","142","13.57","57.83","2016/12/31 2:00:00","10757.8","5024.07","1013.9","69.03"
"34","XH808A416121601088","848.27","1040.9","846.53","1221.33","147.7","150.37","13","61.33","2016/12/31 3:00:00","11680.03","5469.4","1079","71.53"
"35","XH808A416121601088","817.6","1017.23","832.27","1189.57","147.43","149.7","13","62.57","2016/12/31 4:00:00","11635.03","5398.87","1073.67","71.23"
"36","XH808A416121601088","816.6","1003.27","837.73","1165.77","170.67","172.47","12.13","64.77","2016/12/31 5:00:00","13382.77","6299.83","1247.17","80.7"
"37","XH808A416121601088","808.5","1001.13","829.97","1167.47","185.7","188.43","12","64.8","2016/12/31 6:00:00","14300.83","6828.53","1368.7","88.87"
