STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
XH808A416121601089,905.96,963.04,1638.11,1015.71,484.82,578.11,17,28.21,2016-12-20 23:00,24502.75,14563.43,4482.14,515.29
XH808A416121601089,900.6,961.7,1606.97,1004.53,487.73,581.5,17,29,2016-12-21,24459.43,14544.83,4503.1,512.87
XH808A416121601089,891.93,958.7,1573.87,1004.47,479.57,569.87,17,29,2016-12-21 01:00,24225.27,14380.73,4419.93,503.6
XH808A416121601089,897.33,957.93,1574.4,999.9,491.4,586.67,17,29,2016-12-21 02:00,24596.7,14656.77,4546.5,524.37
XH808A416121601089,902.7,948.83,1565.9,990.33,500.4,594.97,17,29.57,2016-12-21 03:00,25062.8,14946.1,4606.9,518.8
XH808A416121601089,912.33,943.53,1559.97,978.27,504.77,601.53,17,30,2016-12-21 04:00,25196.73,15019.17,4638.47,530.3
XH808A416121601089,927.03,935.83,1563.87,962.9,510.93,607.67,17,30.5,2016-12-21 05:00,25527.87,15275.83,4706.47,531.6
XH808A416121601089,925.63,935.8,1555.97,956.03,504.17,599.47,17,31,2016-12-21 06:00,25162.77,15032.57,4639.7,525
XH808A416121601089,922.57,929.37,1542.33,952.2,497.43,592.43,17,31,2016-12-21 07:00,24847.73,14834.87,4593.7,519.77
XH808A416121601089,928.67,925.67,1549.67,946.53,497.77,591.3,17,31.47,2016-12-21 08:00,24931.93,14863.83,4564.9,516.17
XH808A416121601089,934.83,927.4,1543.93,947.73,499.37,593.1,17,31.17,2016-12-21 09:00,25186.93,15035.67,4596.6,515.93
XH808A416121601089,943.2,931.97,1563.93,951.6,498.27,592,17,31.27,2016-12-21 10:00,25344.37,15054.07,4581.7,512.03
XH808A416121601089,955.33,930.2,1598.47,954.7,509.83,604.3,17.67,32,2016-12-21 11:00,25915.8,15362.33,4643.97,514.63
XH808A416121601089,956.63,943.57,1617.1,984.37,540.53,639.57,18,32,2016-12-21 12:00,27193.87,16220.1,4944.03,541.43
XH808A416121601089,955.14,956.55,1628.97,998,567.69,674.9,18,32,2016-12-21 13:00,28275.14,16986.86,5238.86,578.38
XH808A416121601089,950.43,955.27,1602.8,1010,559.4,663.5,18,32.1,2016-12-21 14:00,27959.07,16786.63,5136.8,563.9
XH808A416121601089,928.3,975.77,1554.33,1045.4,539.9,640.07,18.83,32.6,2016-12-21 15:00,27032.4,16166.23,4945.5,543.77
