"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A016112900939","374.83","950.75","862.17","1175.17","56.67","63.5","19.67","37.25","2017/10/30 14:00:00","4099.58","1729.5","377","28.75"
"2","XH808A016112900939","389.93","1167.67","485.77","1461.87","65","73.83","17.47","39.83","2017/10/30 15:00:00","4718.1","2010.97","446.6","38.6"
"3","XH808A016112900939","379.93","984.47","456.13","1231.97","46.57","52.57","16.27","38.47","2017/10/30 16:00:00","3415.27","1414.83","323","28.1"
"4","XH808A016112900939","376.9","849.87","492.07","1069.27","36.87","42.43","15.87","36.23","2017/10/30 17:00:00","2788.57","1117.23","253.7","24"
"5","XH808A016112900939","384","669.13","565.43","850.6","35.87","40.93","15","38.27","2017/10/30 18:00:00","2706","1085.03","250.57","24.6"
"6","XH808A016112900939","389.13","523.59","621.41","685.34","40","45.72","13.84","48.41","2017/10/30 19:00:00","2977.94","1215.16","279.66","27.41"
"7","XH808A016112900939","378.57","491.83","666.2","636.3","36.9","41.9","12.03","52.7","2017/10/30 20:00:00","2725.3","1101.83","260.47","25.27"
"8","XH808A016112900939","384.5","475.37","622.03","623.63","39.9","45.6","10.73","59.63","2017/10/30 21:00:00","2887.27","1180.97","285.03","27.8"
"9","XH808A016112900939","386.73","466.2","612.9","606.9","40.7","45.67","10","64.77","2017/10/30 22:00:00","2983.87","1221.23","286.97","26.5"
"10","XH808A016112900939","381.6","471","620.2","624.47","43.2","48.87","10","64.63","2017/10/30 23:00:00","3129.13","1285.5","301.67","30.7"
"11","XH808A016112900939","392.73","447.33","660.3","582.17","48.7","55.03","10","65.23","2017/10/31","3481.8","1457.4","341.27","34.13"
"12","XH808A016112900939","405.33","448.27","661.7","587.1","60.27","71.03","9.47","67.63","2017/10/31 1:00:00","4059.53","1764.6","447.47","52.6"
"13","XH808A016112900939","395.83","416.27","700.8","539.97","53.6","61.13","9","70.33","2017/10/31 2:00:00","3753.13","1583.97","380.1","39.5"
"14","XH808A016112900939","394.97","405.57","715.37","525.4","53.23","58.87","8.13","71.8","2017/10/31 3:00:00","3679.3","1540.43","369.97","36.07"
"15","XH808A016112900939","395.2","411.27","696.47","526.07","57.83","65.9","7.93","72.97","2017/10/31 4:00:00","3954.5","1683.57","416.63","44.23"
"16","XH808A016112900939","388.23","398.83","707.33","513","56.07","62.77","7.07","73.83","2017/10/31 5:00:00","3949.97","1657.23","390.97","38.8"
"17","XH808A016112900939","386.27","392.97","711.1","501.2","57.5","62.77","7","72.73","2017/10/31 6:00:00","4010.43","1703.6","402.77","37.17"
"18","XH808A016112900939","400.5","356.2","743.5","448.63","55.4","61.03","7","74","2017/10/31 7:00:00","3930.93","1647.27","385.27","36.83"
"19","XH808A016112900939","409.77","351.53","760.13","438.03","62.07","69.57","7","75.77","2017/10/31 8:00:00","4283.97","1827.07","439.23","44.37"
"20","XH808A016112900939","403.6","356.33","769.07","448.57","60.3","66.37","7.23","74.1","2017/10/31 9:00:00","4257.47","1794.83","417.27","38.67"
"21","XH808A016112900939","422.73","388.3","805.87","485.03","67.77","74","8.67","70.97","2017/10/31 10:00:00","4784.03","2026.73","461.77","40.77"
"22","XH808A016112900939","409.27","445.1","954.13","550.03","65.3","72.4","10.73","60.7","2017/10/31 11:00:00","4616.63","1956.63","444.67","39.23"
"23","XH808A016112900939","410.23","485","955.4","603.17","69.77","78.1","13.27","54.43","2017/10/31 12:00:00","4987.7","2120.1","479.17","41.43"
"24","XH808A016112900939","404.53","912.9","809","1166.67","85.63","95.6","15.2","50.07","2017/10/31 13:00:00","6014.17","2599.63","572.97","44.83"
"25","XH808A016112900939","415.57","1476.73","321.93","1896.13","83.13","92.97","16","44.3","2017/10/31 14:00:00","5801.83","2502.03","556.5","46.17"
"26","XH808A016112900939","408.3","845.37","504.3","1079.13","48.43","54.57","16","40.6","2017/10/31 15:00:00","3537.37","1461.17","333.1","28.57"
"27","XH808A016112900939","380","779.27","612.07","986.87","30.83","35.53","16","34.97","2017/10/31 16:00:00","2401.6","928.57","213.07","20.93"
"28","XH808A016112900939","373.97","728.6","596.37","917.93","27.4","30.9","15.4","34.13","2017/10/31 17:00:00","2200.1","829.07","188.27","17.47"
