STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
XH808A416121600974,401.87,876.26,749.57,1354.43,27.52,31.52,10.48,21.78,2017-2-20 13:00,1454.17,716.43,219.61,34.09
XH808A416121600974,415.97,927.66,705.14,1413.07,32.45,37.38,11.28,22,2017-2-20 14:00,1685.55,842.28,253.48,38.14
XH808A416121600974,414,922.45,692.76,1404.21,40.62,46,12.66,22.86,2017-2-20 15:00,2068.97,1046.55,311.86,42.38
XH808A416121600974,407.43,873.64,746.11,1374.82,51.36,59.57,13.07,28.79,2017-2-20 16:00,2486.82,1297.43,402.21,58
XH808A416121600974,407.1,897.28,721.45,1352.86,58.28,66.9,11.48,36.31,2017-2-20 17:00,2756.48,1473.69,451.83,63.62
XH808A416121600974,425.17,953.72,670.48,1353.52,61.93,68.59,10.24,40.9,2017-2-20 18:00,2909.86,1550.55,470.1,57.97
XH808A416121600974,396.66,878.31,743.66,1299.34,44.52,49.76,8.66,36.76,2017-2-20 19:00,2132.9,1121.14,348.9,45.69
XH808A416121600974,387.48,843.79,779.03,1249.31,31.97,37.62,7.07,36.34,2017-2-20 20:00,1535.69,799.52,263.24,44
XH808A416121600974,384.97,841.83,756.93,1233,25.17,29.69,4.79,46.83,2017-2-20 21:00,1197.1,620,212.83,38.38
XH808A416121600974,386.76,867.14,733.97,1206.38,22.38,27.72,3.52,49.62,2017-2-20 22:00,1032.21,545.9,199.34,39.97
XH808A416121600974,382.72,840.24,769.55,1183.76,18.52,23.97,2.55,46.17,2017-2-20 23:00,828.62,444.48,178.21,40.14
XH808A416121600974,380,851.86,748.41,1201.17,19.48,25.38,1.07,58.55,2017-2-21,822.93,453.21,183.97,42.31
XH808A416121600974,378,848.3,745.8,1185.07,20.77,25.7,-0.57,79.13,2017-2-21 01:00,880.87,495.5,189.07,41
XH808A416121600974,375.21,840.38,743.38,1164.38,22.28,27.28,-1,79.97,2017-2-21 02:00,945.24,531.21,204.79,42.17
XH808A416121600974,379.76,838.66,752,1173.21,21.03,25.59,-1.14,77.69,2017-2-21 03:00,898.41,507.97,192.83,39.48
XH808A416121600974,382.17,832.07,763.7,1162.73,20.4,24.87,-1,76.23,2017-2-21 04:00,876.53,490.57,186.17,38.37
XH808A416121600974,376.21,827.76,765.76,1188,21.86,27.31,-1.72,74.17,2017-2-21 05:00,912.83,523.55,208.86,44.21
XH808A416121600974,380.72,838.1,757.14,1170.24,23.62,29.31,-1.69,77.41,2017-2-21 06:00,980.9,561.66,219.34,45.41
XH808A416121600974,383,859.52,739.83,1160.93,24.48,29.07,-1.24,75.79,2017-2-21 07:00,1013.17,578.14,219.38,42.62
XH808A416121600974,387.31,878.21,727.24,1195.17,21.66,27.9,-1,64.17,2017-2-21 08:00,866.72,498.45,207.72,47.9
XH808A416121600974,387.38,890.28,700.45,1213.17,20.9,29.24,-1,53.52,2017-2-21 09:00,826.45,489.69,213.83,54.66
XH808A416121600974,385.72,865.62,732.76,1215.72,22,31.24,-1,50.21,2017-2-21 10:00,841.79,505.24,230.07,61.14
XH808A416121600974,383.14,854.41,752.79,1221.52,23.59,32.34,-0.31,48.24,2017-2-21 11:00,883.83,530.55,238.24,58.76
XH808A416121600974,383.13,845.83,804.47,1222.57,23.33,32.13,0.17,44.67,2017-2-21 12:00,903.3,534.7,239.4,59.63
XH808A416121600974,385.59,866.69,786.38,1249.66,24.62,35.14,1.34,39.66,2017-2-21 13:00,933.97,553.72,250.72,64.93
XH808A416121600974,388.76,855.9,809.07,1254.48,24.97,35.45,2.76,36.52,2017-2-21 14:00,963.62,567.79,258.76,67.1
XH808A416121600974,394.03,879.76,767.93,1277.14,25.72,36.69,3.41,34.72,2017-2-21 15:00,1005.41,587.83,266.31,67.93
XH808A416121600974,385.48,863.76,771.34,1288.48,24.93,35.07,4,33.31,2017-2-21 16:00,980.03,565.14,252.83,63.52
XH808A416121600974,390.72,897.66,712.72,1312.14,25.79,36.1,4,32.93,2017-2-21 17:00,987.59,566.79,253.52,63.48
XH808A416121600974,397.8,977.13,631,1338.4,24.9,34.03,4,34.4,2017-2-21 18:00,1050.2,592,246.43,59.07
XH808A416121600974,389.21,958.07,635.04,1307.57,21.86,30.11,2.96,36.07,2017-2-21 19:00,884.32,496.43,218.11,53.32
XH808A416121600974,392.41,947.48,645.52,1280.59,20.07,27.03,2,38.38,2017-2-21 20:00,833.83,463.79,200.38,47.52
XH808A416121600974,392.1,967.77,628.63,1278.57,20.6,28.03,2,39.23,2017-2-21 21:00,861.23,481.27,203.17,48.13
XH808A416121600974,392.33,935.93,690.2,1223.07,23.2,31.2,2,45.67,2017-2-21 22:00,952.3,531.93,219.27,51.3
XH808A416121600974,386.24,920.14,679.59,1205.83,24.59,31.9,2,49.59,2017-2-21 23:00,1016.38,573.24,237.21,51.9
XH808A416121600974,402.41,942.55,679.41,1184.59,25.72,33.45,1.83,51.48,2017-2-22,1043.66,593.9,245.38,54.28
XH808A416121600974,399.83,922.38,684.93,1165.83,24.48,32.48,1,51.86,2017-2-22 01:00,995.83,565.41,234.31,53.14
XH808A416121600974,391.33,933.83,686.13,1187.67,21.2,27.17,1.4,46.77,2017-2-22 02:00,889.17,490.77,198.03,43.13
XH808A416121600974,388.24,905.14,704.24,1199.28,20.14,26.79,1,42.66,2017-2-22 03:00,842.59,470.1,202.14,48.03
XH808A416121600974,388.59,869.66,739.52,1191.38,20.21,26.83,1,42,2017-2-22 04:00,836.34,473.34,197.86,46.48
XH808A416121600974,379,814.45,780.28,1210.83,17.24,24.38,1,36.31,2017-2-22 05:00,708.38,396.59,179.21,45.41
XH808A416121600974,386.28,869.45,737.1,1191.21,19.55,26.97,1,39.41,2017-2-22 06:00,798.79,452,195.55,49.79
XH808A416121600974,390.13,920.03,681.97,1221.37,19.47,26.97,1,39.17,2017-2-22 07:00,805.2,454.47,198.17,49.47
XH808A416121600974,405.82,932.5,681.79,1250.54,16.61,23.39,1,37.96,2017-2-22 08:00,700.46,390.71,172.46,45.93
XH808A416121600974,423.28,966.28,649.21,1271.45,18.72,24.41,1,39.45,2017-2-22 09:00,800.69,441.52,179.9,42.1
XH808A416121600974,410.68,993.71,645.06,1263.97,17.68,23.52,1,38.19,2017-2-22 10:00,755.87,415.06,173.42,39.9
XH808A416121600974,407.5,944.27,677.36,1283.23,17.82,23.09,2.09,37.09,2017-2-22 11:00,782.27,418.91,169.55,36.32
XH808A416121600974,396.62,933.17,678.28,1293.24,17.97,23.48,3.28,35.03,2017-2-22 12:00,833.21,436.72,172.17,40
XH808A416121600974,397.31,942.66,675,1342.72,17.72,22.83,4.76,31.76,2017-2-22 13:00,852.69,434,166.69,37.34
XH808A416121600974,404.38,919.03,681.97,1320.41,17.03,21.86,5.62,30.24,2017-2-22 14:00,827.28,417.24,159.03,35.1
XH808A416121600974,384.4,888.7,691.93,1322.2,14.57,18.67,6,29.27,2017-2-22 15:00,734.47,358.3,134.9,29.77
XH808A416121600974,383.52,883.93,690,1324.86,13.62,17.34,5.17,29.28,2017-2-22 16:00,695.24,339.07,127.55,27.59
XH808A416121600974,398.03,937.79,642,1327.34,14.83,18.52,5.14,30.28,2017-2-22 17:00,731.03,359.9,135.41,28.97
XH808A416121600974,427.07,967.03,620.03,1340.59,14.45,17.83,4,31.07,2017-2-22 18:00,722.41,347.72,131.59,28.07
XH808A416121600974,396,922.69,668.48,1316.66,11.9,14.17,3.72,32.59,2017-2-22 19:00,637.48,298.79,106.9,20.97
XH808A416121600974,398.97,905.52,680.34,1314.52,10.93,13.03,3,33.79,2017-2-22 20:00,595.03,275.24,97.48,19.72
XH808A416121600974,388.45,911,708.14,1300.52,9.76,11.55,3,32.38,2017-2-22 21:00,557.21,248.28,90.76,17.45
XH808A416121600974,390.86,907.41,706.79,1268.79,9.45,10.69,3,33.24,2017-2-22 22:00,543.48,239.31,83,15.38
XH808A416121600974,388.9,909,686.23,1258.63,15.03,17.23,2,43.93,2017-2-22 23:00,771.87,380.73,129.23,22.1
XH808A416121600974,387.86,908.17,687.52,1240.03,20.52,23.21,1.14,52.34,2017-2-23,997.07,513.45,170.72,28.03
XH808A416121600974,388.2,871,723.47,1206.67,14.43,16.1,1,51.13,2017-2-23 01:00,739.53,362.97,122.27,20.47
