"   ","ID","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","WDIRECT","WSPEED","APRESS","VOLTAGE","EQUSTATE","PM05N","PM1N","PM25N","PM10N","PMSTATE","COSTATE","NO2STATE","SO2STATE","O3STATE","ROWID"
"427","18057216","XH808A416121601150","382.27","594.2","858.33","694.13","44","55.6","9.27","66.07","2017/4/8 13:00:00","","","","12784.93","5","2713.4","1358.93","391.53","55.73","0","0","0","0","0","AAASkgAALAACOrBAA4"
"428","18060319","XH808A416121601150","384.97","592","766.9","705.28","48.45","59.79","8","73.45","2017/4/8 14:00:00","","","","12840.03","5","2983.69","1498.34","419.9","54.62","0","0","0","0","0","AAASkgAALAACOMLAAR"
"429","18063440","XH808A416121601150","384","610.9","778.37","722.37","55.43","73.77","8","73.37","2017/4/8 15:00:00","","","","13035.43","5","3226.43","1695.43","508.87","78.23","0","0","0","0","0","AAASkgAALAACM5ZAAS"
"430","18066546","XH808A416121601150","387.48","633.97","718.14","761.72","45.86","57.59","7.9","74.72","2017/4/8 16:00:00","","","","12822.79","5","2833.83","1425.69","411.24","58.03","0","0","0","0","0","AAASkgAALAACOqJAAO"
"431","18069659","XH808A416121601150","383.41","611.34","737.48","731.86","35","40.66","7.34","79.31","2017/4/8 17:00:00","","","","12683.79","5","2299.62","1124.07","293.24","32.72","0","0","0","0","0","AAASkgAALAACM7YABC"
"432","18071007","XH808A416121601150","382.03","599.24","735.86","710.55","36.1","40.28","7","84.21","2017/4/8 18:00:00","","","","12575.24","5","2431.14","1172.14","293.34","27.55","0","0","0","0","0","AAASkgAALAACMygAAw"
"433","18075303","XH808A416121601150","386.79","588.31","718.28","699.48","39.24","44.1","7","86.48","2017/4/8 19:00:00","","","","12556.72","5","2636.97","1273.62","318.41","30.52","0","0","0","0","0","AAASkgAALAACOgEAAP"
"434","18078996","XH808A416121601150","394.87","678.3","620.43","823.2","42.73","47","7","89.13","2017/4/8 20:00:00","","","","12555.1","5","2890.27","1393.03","332.97","28.9","0","0","0","0","0","AAASkgAALAACM+kAAl"
"435","18082115","XH808A416121601150","393.48","642.62","659","766.97","42.59","46.55","7","89.97","2017/4/8 21:00:00","","","","12559.72","5","2936.34","1414.1","332.28","28.72","0","0","0","0","0","AAASkgAALAACNrdAAR"
"436","18085245","XH808A416121601150","389.1","601.83","701.59","726.38","44.69","49.21","7","89.79","2017/4/8 22:00:00","","","","12558.76","5","3101.69","1487.07","353.07","32","0","0","0","0","0","AAASkgAALAACOINABD"
"437","18088363","XH808A416121601150","385.03","605.9","722.72","727.45","50.45","55.21","7","90.07","2017/4/8 23:00:00","","","","12549.79","5","3353.03","1629.83","396.9","33.07","0","0","0","0","0","AAASkgAALAACOBUAA0"
"438","18091479","XH808A416121601150","402.24","736.31","540.03","910.59","50.45","55.48","7","90.17","2017/4/9","","","","12541.21","5","3502.79","1685.62","396.76","34","0","0","0","0","0","AAASkgAALAACOqMAAL"
"439","18094603","XH808A416121601150","410.74","1021.37","303.15","1283.56","53.63","59.15","7.74","85.89","2017/4/9 1:00:00","","","","12546.78","5","3812.11","1805.74","428.04","36.59","0","0","0","0","0","AAASkgAALAACOIUAAi"
"440","18097723","XH808A416121601150","389.52","605.28","691.55","730.41","61.66","69.24","6.93","91.03","2017/4/9 2:00:00","","","","12532.55","5","3986.48","1969","489.03","47.14","0","0","0","0","0","AAASkgAALAACOFcAAS"
"441","18100845","XH808A416121601150","390.37","595.85","709.7","707.89","63.81","72.33","7","92.63","2017/4/9 3:00:00","","","","12535.11","5","3981.74","1991.52","519.26","48.81","0","0","0","0","0","AAASkgAALAACOmPABD"
"442","18103981","XH808A416121601150","387.37","594.43","704.23","710.17","55.37","62.93","6.1","92.8","2017/4/9 4:00:00","","","","12531.9","5","3541.23","1754.5","454.43","45.27","0","0","0","0","0","AAASkgAALAACOJgAAE"
"443","18106532","XH808A416121601150","385.38","590.69","694.31","718.34","50.52","56.55","6","92.69","2017/4/9 5:00:00","","","","12525.97","5","3247.79","1599.9","406.21","40.21","0","0","0","0","0","AAASkgAALAACOrRAAo"
"444","18110215","XH808A416121601150","382.9","572.1","731.59","686.79","48.45","53.76","6","93.07","2017/4/9 6:00:00","","","","12522.38","5","3140.21","1543.83","387.38","35.59","0","0","0","0","0","AAASkgAALAACN3YAAR"
"445","18113338","XH808A416121601150","383.76","549.62","746.03","660.76","45.28","51.03","6","93.76","2017/4/9 7:00:00","","","","12517.52","5","2959.79","1457.31","369.59","35.21","0","0","0","0","0","AAASkgAALAACOLqAAo"
"446","18116446","XH808A416121601150","388.79","551","752.24","649.07","41.31","45.24","6","94.17","2017/4/9 8:00:00","","","","12516.83","5","2689.66","1321.17","334.69","28.14","0","0","0","0","0","AAASkgAALAACNZHAA7"
"447","18119555","XH808A416121601150","385.79","511.61","834.79","602.61","37.25","40.14","6.07","93.11","2017/4/9 9:00:00","","","","12519.68","5","2545.21","1226.29","293.36","24.07","0","0","0","0","0","AAASkgAALAACOY8AAN"
"448","18122669","XH808A416121601150","392","611.07","698.31","737.76","41.21","45","6.66","92.59","2017/4/9 10:00:00","","","","12547.1","5","2829.79","1350.52","320.31","27.59","0","0","0","0","0","AAASkgAALAACM0vAAh"
"449","18125804","XH808A416121601150","385.3","557.57","823.2","670.77","40.23","43.77","7","89.47","2017/4/9 11:00:00","","","","12551.57","5","2762.8","1320.87","314.67","26.83","0","0","0","0","0","AAASkgAALAACNsPAAA"
"450","18128927","XH808A416121601150","386.2","564.33","840.57","685.3","41.73","45.23","7","86.7","2017/4/9 12:00:00","","","","12538.07","5","2876.5","1375.23","324.23","26.97","0","0","0","0","0","AAASkgAALAACNieAAA"
"451","18132051","XH808A416121601150","389.83","589.21","790.72","722.17","46.14","50","7.66","84.07","2017/4/9 13:00:00","","","","12602.21","5","3167","1516.9","359.69","27.72","0","0","0","0","0","AAASkgAALAACNaWAAb"
"452","18135178","XH808A416121601150","388.45","612.41","792.9","761.34","52.83","65.17","8.34","78.72","2017/4/9 14:00:00","","","","12770","5","3329.9","1678.9","452.9","59","0","0","0","0","0","AAASkgAALAACNWKAA+"
"453","18137288","XH808A416121601150","387.1","671.34","730.55","851.07","65.1","88.62","9.72","70.97","2017/4/9 15:00:00","","","","13120.86","5","3734.48","1984.76","602.45","100.34","0","0","0","0","0","AAASkgAALAACNnZAAb"
"454","18141462","XH808A416121601150","389.83","668.93","741.73","857.93","78.93","117.3","10.87","66.87","2017/4/9 16:00:00","","","","13156.87","5","4159.27","2320.73","793.6","152.2","0","0","0","0","0","AAASkgAALAACOaGAAk"
"455","18144601","XH808A416121601150","390.48","676.03","655.62","885.52","65.41","92.14","10","68.83","2017/4/9 17:00:00","","","","12889.69","5","3670.31","1964.69","619.66","106.41","0","0","0","0","0","AAASkgAALAACNUNAAD"
"456","18147739","XH808A416121601150","400.53","696.5","587.13","903.33","66.67","94.4","10","69.83","2017/4/9 18:00:00","","","","12749.33","5","3766.23","2011.23","635.57","110.97","0","0","0","0","0","AAASkgAALAACM8bAAp"
"457","18150882","XH808A416121601150","393.03","651.76","629.86","804.34","44.69","54.62","9.14","75.03","2017/4/9 19:00:00","","","","12647.79","5","2927.79","1443.1","378.9","46.97","0","0","0","0","0","AAASkgAALAACOXJAA0"
"458","18154023","XH808A416121601150","395.97","729.66","567.21","913.28","50.86","55.93","8.45","81.24","2017/4/9 20:00:00","","","","12572.66","5","3502.07","1693.21","397.14","34.31","0","0","0","0","0","AAASkgAALAACOV/AAb"
"459","18157185","XH808A416121601150","386.86","624","617.59","780.48","55.66","61.69","8","86.45","2017/4/9 21:00:00","","","","12534.41","5","3763.69","1835.21","440.9","39.38","0","0","0","0","0","AAASkgAALAACOgTABD"
"460","18160343","XH808A416121601150","385.17","608.72","639.52","755.93","54.28","59.34","7.9","84.97","2017/4/9 22:00:00","","","","12518.69","5","3685.31","1779.48","422.52","35.21","0","0","0","0","0","AAASkgAALAACOpSAAQ"
"461","18163482","XH808A416121601150","387.57","596.2","614.33","738.4","66.83","73.03","7","88.63","2017/4/9 23:00:00","","","","12508.3","5","4596.47","2232.53","517.47","42.87","0","0","0","0","0","AAASkgAALAACOVMABA"
"462","18166619","XH808A416121601150","396.17","646.45","550.66","807.83","67.69","73.55","7","90.28","2017/4/10","","","","12509.93","5","4611.79","2239","519.72","40","0","0","0","0","0","AAASkgAALAACOraAAZ"
"463","18169757","XH808A416121601150","392.76","640.97","589.41","794.34","58.17","63.1","7","85.72","2017/4/10 1:00:00","","","","12509.86","5","4009.97","1914.52","437.83","34.55","0","0","0","0","0","AAASkgAALAACM+VAAw"
"464","18172898","XH808A416121601150","392.62","601.17","606.9","749.72","55.97","60.69","7","85.83","2017/4/10 2:00:00","","","","12503.34","5","3873.83","1862.24","429.17","34.52","0","0","0","0","0","AAASkgAALAACM5jAAd"
"465","18176032","XH808A416121601150","388.21","571.38","628.62","700.59","50","53.86","7","85.79","2017/4/10 3:00:00","","","","12497.72","5","3470.93","1658.28","379.14","30.76","0","0","0","0","0","AAASkgAALAACM/bAAj"
"466","18179167","XH808A416121601150","388.55","586.07","630.97","723.28","48.21","52.14","7","85.14","2017/4/10 4:00:00","","","","12493.21","5","3411.31","1619.07","369.41","30.66","0","0","0","0","0","AAASkgAALAACObAAAU"
"467","18182302","XH808A416121601150","384.53","602.83","622.13","756.53","39.4","42.47","7","82.57","2017/4/10 5:00:00","","","","12481.5","5","2850.2","1330.27","298.43","23.33","0","0","0","0","0","AAASkgAALAACOoZAAk"
"468","18185437","XH808A416121601150","382.45","555","668.62","693.83","35.14","37.34","7","82.72","2017/4/10 6:00:00","","","","12487.24","5","2548.66","1192.14","265.93","19.76","0","0","0","0","0","AAASkgAALAACOqWAAw"
