"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A017011801442","30.22","819.78","764.89","648","6.78","10.11","26.89","15.44","2017/4/17 17:00:00","760.11","204.11","54.89","8.44"
"2","XH808A017011801442","30.07","551.3","969.4","930.6","8.2","13.43","25.93","11.3","2017/4/17 18:00:00","823.07","234.9","68.27","13.7"
"3","XH808A017011801442","30.17","516.8","915.5","869.3","45.17","100.17","23.9","14.13","2017/4/17 19:00:00","1996.3","1108.47","514.57","135.1"
"4","XH808A017011801442","28","477.87","835.87","736.2","127.47","293.23","19.67","21.53","2017/4/17 20:00:00","4599.4","2997.6","1474.37","396.6"
"5","XH808A017011801442","13.5","457.9","796.97","684.83","185.43","406.23","17.5","28.8","2017/4/17 21:00:00","6646.37","4364.6","2086.17","535.5"
"6","XH808A017011801442","50.7","480.47","796.33","695.17","150.1","335.97","16.23","33.03","2017/4/17 22:00:00","5315.57","3539.43","1730.5","451.9"
"7","XH808A017011801442","81.17","480.63","795.7","669.77","111.2","238.17","15.33","35.4","2017/4/17 23:00:00","3974.2","2619","1255.9","315.27"
"8","XH808A017011801442","113.17","468.2","800.47","619.5","76.27","159.23","14.23","37.57","2017/4/18","2815.2","1796.63","854.67","207.7"
"9","XH808A017011801442","142.17","427.07","794.87","531.8","66.5","136.1","13.17","42.4","2017/4/18 1:00:00","2522.83","1594.2","746.37","179.4"
"10","XH808A017011801442","170.67","440","789.9","518.83","59.63","123.73","12","46.57","2017/4/18 2:00:00","2349.47","1472.93","677.07","166.83"
"11","XH808A017011801442","177.93","459","781.2","534.57","52.73","109.63","11.23","48","2017/4/18 3:00:00","2073.33","1287.3","600.63","149.17"
"12","XH808A017011801442","190.6","490.33","774.93","570.43","37.4","78.13","11","48.1","2017/4/18 4:00:00","1538.9","940.27","427.77","105.63"
"13","XH808A017011801442","204.07","483.77","779.33","569.97","27.2","51.57","10.87","47.13","2017/4/18 5:00:00","1257.73","705.9","296.43","67.2"
"14","XH808A017011801442","212.43","429.97","788.4","509.17","41.4","83.83","10","49.3","2017/4/18 6:00:00","1671.23","1023.57","460.63","110.83"
"15","XH808A017011801442","228.57","436.8","757.83","518.67","50.03","102.63","10","51.07","2017/4/18 7:00:00","2021.53","1249.47","566.9","141.03"
"16","XH808A017011801442","238.33","425.8","747.23","504.4","66.23","130.93","10.27","51.33","2017/4/18 8:00:00","2701.5","1647.07","714.6","169.1"
"17","XH808A017011801442","226.63","479.97","720.23","628.53","61.5","123.53","12.4","44.73","2017/4/18 9:00:00","2642","1582.7","688.63","161.47"
