STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,EQUSTATE,PM05N,PM1N,PM25N,PM10N
XH808A416121601153,410.37,476.67,1067.7,531.67,18.57,20.63,0.8,20.7,2017-1-16 19:00,5,1672.37,664.43,172.97,22.87
XH808A416121601153,403.1,468.83,884.8,537.03,17.93,19.73,0,22.53,2017-1-16 20:00,5,1635.23,646.7,166.43,22.33
XH808A416121601153,401.1,479.97,858.5,550.6,13.77,15.33,0,22.93,2017-1-16 21:00,5,1370.77,507.47,130.53,17.9
XH808A416121601153,401.13,506.63,857.6,584.37,13.2,13.7,0,23.4,2017-1-16 22:00,5,1357.6,488.23,117.33,13.83
XH808A416121601153,398.27,483.17,853.2,550.53,11.53,11.97,0,22.57,2017-1-16 23:00,5,1235.4,430.27,104.2,12.63
XH808A416121601153,394.37,467.6,876.4,534.3,11.57,12.23,0,22.77,2017-1-17,5,1270.47,447.5,108.6,13.67
XH808A416121601153,399.67,453.93,837.83,522.4,12.47,13.2,-0.17,23.03,2017-1-17 01:00,5,1298.47,464.53,112.97,14.9
XH808A416121601153,399.07,457.33,851.9,520.13,12.8,13.2,-1,23,2017-1-17 02:00,5,1356.87,494.27,118.27,13
XH808A416121601153,409.33,418.57,790.83,462.77,16.03,16.37,-1,28.37,2017-1-17 03:00,5,1573.47,604.07,140.67,13.87
XH808A416121601153,407.33,400.33,781.33,436.63,16.7,17.27,-1.43,30.3,2017-1-17 04:00,5,1657.93,638.67,153.07,17.13
XH808A416121601153,407.37,395.07,783.57,427.37,15.33,16.2,-2,33.1,2017-1-17 05:00,5,1548.47,584.43,141.6,17.3
XH808A416121601153,401.53,404.47,826.53,445.7,13.87,14.6,-2.47,32.73,2017-1-17 06:00,5,1462.53,538.07,127.93,14.73
XH808A416121601153,400.7,420.17,765.6,460.4,15.63,16.03,-3.2,34.33,2017-1-17 07:00,5,1617.03,616.77,143.63,15.6
XH808A416121601153,419.17,441.13,669.17,492.3,20.17,20.9,-4.3,40.77,2017-1-17 08:00,5,1962.1,798.57,193.3,23.53
XH808A416121601153,416.73,431.87,661.2,476,19.97,20.43,-4.83,43.9,2017-1-17 09:00,5,1988.03,802.17,185.6,22.17
XH808A416121601153,436.67,461.87,726.53,514.13,23.33,23.6,-2.9,38.1,2017-1-17 10:00,5,2213.53,901.47,210.27,22.73
XH808A416121601153,426.27,516.17,874.8,577.43,23.93,24.37,-0.4,31.77,2017-1-17 11:00,5,2287.07,916.53,203.43,21.8
XH808A416121601153,433.17,574.17,913.1,657.43,25.93,26.37,0.77,28.63,2017-1-17 12:00,5,2429,987.57,217.47,24
XH808A416121601153,427.03,610.1,933.93,713.5,25.53,26.27,1.7,27.63,2017-1-17 13:00,5,2398.67,972,211.3,22.1
XH808A416121601153,418.7,584.9,916.57,680.93,26.47,26.93,3,26.67,2017-1-17 14:00,5,2437.73,990.53,220.67,20.93
XH808A416121601153,418.4,602.1,896.2,703.37,27.73,28.5,3.97,25.97,2017-1-17 15:00,5,2499.4,1028.63,226.93,22.07
XH808A416121601153,414.67,587.1,910.63,686,30.3,31.17,4.77,24.47,2017-1-17 16:00,5,2677.47,1129.93,245.67,22.77
XH808A416121601153,409.77,561.83,867.17,655.6,32.07,33.3,4.63,24.67,2017-1-17 17:00,5,2826.5,1204.83,260.57,25.17
XH808A416121601153,417.23,553.3,758.7,651.07,33.27,34.27,3.03,27.97,2017-1-17 18:00,5,2940.23,1262.77,276.53,27.87
XH808A416121601153,433.27,539.47,673.57,630.23,38.17,38.7,1.2,32.67,2017-1-17 19:00,5,3309.13,1453.43,319.13,31.1
XH808A416121601153,439.83,512.9,665.63,592.23,43.07,43.33,0.2,35.97,2017-1-17 20:00,5,3739.23,1652.17,360.17,33.83
XH808A416121601153,446.47,520.23,641.2,609.13,44.7,44.83,0,36.9,2017-1-17 21:00,5,3910.67,1718.6,370.43,34.17
XH808A416121601153,439.73,503.17,635.53,574.83,46,46.3,0,38.07,2017-1-17 22:00,5,3957.73,1756.47,378.77,35.67
XH808A416121601153,460.2,500.8,652.27,569.73,48.9,49.47,0,38.83,2017-1-17 23:00,5,4224.43,1874.53,407.9,40.3
XH808A416121601153,437.17,456.03,661.37,516.73,42.33,42.53,-0.87,41.3,2017-1-18,5,3703.27,1633.83,360.03,34.9
XH808A416121601153,423.5,432.4,652.1,478.17,37.83,37.9,-2.37,43.77,2017-1-18 01:00,5,3428.67,1484.5,324.7,30.83
XH808A416121601153,414.77,443.67,645.13,492.67,30.73,30.83,-3,43.83,2017-1-18 02:00,5,2860.67,1211.37,269.73,28.4
XH808A416121601153,407,448.83,641.53,497.97,27.73,27.83,-3.37,44.23,2017-1-18 03:00,5,2645.83,1112.5,249.3,25.17
XH808A416121601153,410.13,437.6,650.63,484.33,27.8,27.93,-4,45.43,2017-1-18 04:00,5,2622,1108.47,248.17,26.47
XH808A416121601153,406.13,428.97,644.3,468.4,31.53,31.63,-4.57,47.8,2017-1-18 05:00,5,2983.47,1268.77,281.4,29.73
XH808A416121601153,411.97,410.2,658.3,444.87,34.7,35,-5.07,49.27,2017-1-18 06:00,5,3240.3,1399.87,320.07,36.73
XH808A416121601153,411.33,404.07,661.77,435.2,32.97,33,-6,49.23,2017-1-18 07:00,5,3156.4,1351.67,300.03,31.83
XH808A416121601153,426.63,402.23,651.43,435.07,30.9,31.27,-6,52.63,2017-1-18 08:00,5,2965.63,1264.57,287.33,33.53
XH808A416121601153,428.3,406.73,657.4,436,34.87,34.9,-6.03,53.03,2017-1-18 09:00,5,3282.63,1418.9,326.33,36.53
XH808A416121601153,429.47,432,682.37,465.27,39.93,40.03,-5.17,48.63,2017-1-18 10:00,5,3715.47,1612.53,360.27,41.37
XH808A416121601153,435.73,542.47,749.7,607.63,50.57,50.73,-2.17,38,2017-1-18 11:00,5,4488.13,1994.03,439.8,43.33
XH808A416121601153,458.17,694.8,784.33,819.83,56.97,57.27,-0.03,33.23,2017-1-18 12:00,5,4966.2,2199.07,472.8,45.83
XH808A416121601153,461.4,852.43,839.57,1043.97,63.23,63.43,1.4,30.67,2017-1-18 13:00,5,5453.33,2414.37,511.53,45.77
XH808A416121601153,445.7,861.53,807.8,1059.37,65,65.33,3.27,28.47,2017-1-18 14:00,5,5531.7,2473.6,525.93,43.53
XH808A416121601153,449.73,828.67,758.43,1019.67,68.53,69.3,4.27,26.47,2017-1-18 15:00,5,5728.1,2551.93,530.8,46.17
XH808A416121601153,465.27,792.47,595.07,979.9,72.87,73.77,4.77,26.37,2017-1-18 16:00,5,6048.67,2706.1,563.7,46.5
XH808A416121601153,443.87,608.57,697.33,717.53,56.2,57.67,4.6,25.4,2017-1-18 17:00,5,4641.8,2073.4,442.07,39.83
XH808A416121601153,421.87,578.57,717.77,674.63,42.73,43.3,2.93,25.6,2017-1-18 18:00,5,3680.93,1610.83,347.93,30.33
XH808A416121601153,426.23,548.13,746.37,641.33,42.4,42.93,1.23,28.63,2017-1-18 19:00,5,3649.63,1606.17,351.73,34.8
XH808A416121601153,423.37,536,747.27,627.03,35.87,36.3,0,28.63,2017-1-18 20:00,5,3140.83,1367.63,304.43,30.17
XH808A416121601153,400.5,524.97,742.93,612.53,22.27,22.83,0,24.5,2017-1-18 21:00,5,2076.93,853.13,195.53,21.23
XH808A416121601153,390.17,534.87,784.67,627.97,10.23,12.1,-0.4,19,2017-1-18 22:00,5,1064.97,375.9,102.33,16.37
XH808A416121601153,388.27,524.27,787.4,612.6,11.33,15.17,-1.43,18.63,2017-1-18 23:00,5,1080.67,403.3,127.47,25.73
XH808A416121601153,384.7,506.63,786.47,578.8,21.13,31.63,-2.1,21.43,2017-1-19,5,1470.53,686.4,266.37,57.9
XH808A416121601153,383.67,494.8,749.73,562,35.57,55.57,-3,25.3,2017-1-19 01:00,5,2058.03,1113.13,470.13,105.8
XH808A416121601153,382.27,497.7,758.7,565.73,46.43,73.33,-3.8,29,2017-1-19 02:00,5,2518.33,1416.87,622.2,140.43
XH808A416121601153,380.83,492.87,746.3,561.07,45.2,71.77,-4.37,31.6,2017-1-19 03:00,5,2454.83,1365.4,603.13,139.6
XH808A416121601153,382.83,467.6,754.1,532.5,41.1,64.23,-5,33.43,2017-1-19 04:00,5,2307.5,1280.67,561.8,126.5
XH808A416121601153,381.7,460.2,743.93,527.97,30.97,46.53,-5.83,35.83,2017-1-19 05:00,5,1907.57,990.77,411.87,91.57
XH808A416121601153,390.07,426.87,728.73,475.67,36.33,53.5,-6.37,38.57,2017-1-19 06:00,5,2197.67,1169.63,489.03,109.07
XH808A416121601153,391.13,408.33,691.6,450.43,39.37,61.43,-7,40.53,2017-1-19 07:00,5,2356.47,1271.63,541.03,129.07
XH808A416121601153,400.5,416.07,633.13,466.1,37.53,55.57,-7.73,43.87,2017-1-19 08:00,5,2335.33,1240.27,500.6,109.63
XH808A416121601153,406.1,424.5,628.23,473.5,36.13,50.1,-8,45.47,2017-1-19 09:00,5,2432.6,1233.3,458.3,97.3
XH808A416121601153,396.27,444.63,716.7,495.2,21.1,26.87,-6.57,40.67,2017-1-19 10:00,5,1693.87,758.3,254.37,48.63
XH808A416121601153,406.77,506.7,704.7,578.8,23.6,30.63,-4.07,35.8,2017-1-19 11:00,5,1856.3,841.23,278.47,54.83
XH808A416121601153,418.4,641.7,721.7,758.6,30.7,39.3,-1.8,32.57,2017-1-19 12:00,5,2310.13,1060.5,340.33,61.97
XH808A416121601153,418.07,658.97,751.07,789.53,29.83,38.03,-0.33,28.87,2017-1-19 13:00,5,2264.7,1030.37,328.7,59.33
XH808A416121601153,422.2,692.33,682.5,833.27,31.57,41.47,0.07,27.77,2017-1-19 14:00,5,2387.67,1107.13,348.63,63.47
XH808A416121601153,420.33,699.97,682.03,857.07,35.03,47.7,1.17,26.13,2017-1-19 15:00,5,2497.1,1180.03,378.77,71.33
XH808A416121601153,418.13,700.9,655.53,852.5,33.93,46.67,2,23.87,2017-1-19 16:00,5,2408.03,1124.13,364.07,67.4
XH808A416121601153,423.57,648.17,612.97,788.53,34.13,47.17,2,23.23,2017-1-19 17:00,5,2449.2,1137.23,359.13,66.07
XH808A416121601153,430.73,564.17,583.6,669.83,36.27,48.9,1.07,25.37,2017-1-19 18:00,5,2662.6,1253.03,389.23,72.3
XH808A416121601153,434.57,544.4,527.27,646.97,37.87,48.67,-0.6,31.27,2017-1-19 19:00,5,2833.27,1330.67,402.17,70.37
XH808A416121601153,440.37,513.43,554.2,605.5,38.47,46.47,-2.2,34.23,2017-1-19 20:00,5,2988.83,1382.33,405.33,68.8
XH808A416121601153,464.53,526.33,570.83,629.33,44.6,49.33,-3,37.9,2017-1-19 21:00,5,3557.83,1631.87,440.47,62.6
XH808A416121601153,477.93,512.27,611.6,598.33,47.4,51.1,-3.83,40.53,2017-1-19 22:00,5,3816.17,1759.97,472.8,64.6
XH808A416121601153,475.87,492.63,624.2,571.17,46.63,49.5,-4.37,42,2017-1-19 23:00,5,3844.9,1774.03,460.93,64.2
XH808A416121601153,484.33,464.9,637.7,530.23,44.07,47.83,-5,42.97,2017-1-20,5,3606.77,1669.13,439.27,62.37
XH808A416121601153,443.93,447.3,612.03,507.8,39.57,42.97,-4.2,42.07,2017-1-20 01:00,5,3252.5,1474.83,398.2,57.47
XH808A416121601153,431.17,436.4,614.7,483.7,35.03,38.33,-4,43.93,2017-1-20 02:00,5,2890.1,1313.7,359.77,52.9
XH808A416121601153,420.83,435.6,628.9,485.5,31.53,35.63,-4.57,43.07,2017-1-20 03:00,5,2619.87,1173.53,327.8,50.6
XH808A416121601153,424.87,409.97,643.53,453.67,31.87,35.83,-5.37,44.8,2017-1-20 04:00,5,2636.97,1188.23,336.43,52.23
XH808A416121601153,425.1,411.63,631.6,455,31.53,35.1,-6.1,47.3,2017-1-20 05:00,5,2669.2,1190.97,329.2,52.47
XH808A416121601153,437.63,409,635.1,452.2,35.27,38.33,-7,49.87,2017-1-20 06:00,5,2954.6,1343.37,369.13,55.73
XH808A416121601153,441.8,412.9,646.83,454,35.57,38.17,-6.5,48.97,2017-1-20 07:00,5,3031.83,1362.1,362.97,53.63
XH808A416121601153,440,401.73,632.8,437.77,35.6,38.2,-6.57,52.47,2017-1-20 08:00,5,3072.37,1385.4,370.5,54.9
XH808A416121601153,431.57,406.77,652.77,439.9,34.97,38.07,-7,52.47,2017-1-20 09:00,5,3011.37,1359.83,366.7,57.7
XH808A416121601153,438.13,441.33,667.5,482.43,39.27,40.83,-6.27,49.1,2017-1-20 10:00,5,3419.07,1528.3,389.43,53.53
XH808A416121601153,459.2,566.03,639.67,653.7,46.47,49.13,-3.63,40.6,2017-1-20 11:00,5,3980.4,1785.4,450.93,62.13
XH808A416121601153,466.3,672.83,610.3,805,55.9,59.4,-1.33,34.1,2017-1-20 12:00,5,4597.03,2083.67,528.3,68.23
XH808A416121601153,472,787.97,596.27,968.87,64.1,69.03,0,31.5,2017-1-20 13:00,5,5236.67,2396.2,578.53,73.27
XH808A416121601153,458.97,771.73,597.07,943.2,60.13,67.4,1.03,27.3,2017-1-20 14:00,5,4746.87,2180.1,546.83,72.7
XH808A416121601153,467.15,884.58,567.54,1105.42,64.54,71.69,2.46,25.58,2017-1-20 15:00,5,5139.23,2336.62,573.27,73.58
