   ,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
1,65.76,333.93,291.45,597.69,13.83,15.79,0.86,15.62,2017/1/22 14:00,2179.07,943.24,110.45,3471151.14
2,81.1,317.93,314.33,641.93,16.67,19,1.83,14.53,2017/1/22 15:00,2746.83,1145.7,140.27,4473927.27
3,79,308.84,307.88,645.44,23.52,26.92,2,14.04,2017/1/22 16:00,3705.32,1483.2,199.28,4026534.84
4,79.13,288.9,302.17,620.9,26,29.2,0.97,15.3,2017/1/22 17:00,4210.1,1660.87,226.87,6710889.4
5,68.73,287.53,240.83,596.43,20,24.73,-1.17,29.57,2017/1/22 18:00,2762.57,1184.33,164.97,4473927.27
6,58.73,267.47,213.83,583.63,22.03,26.33,-3.3,35.6,2017/1/22 19:00,2532.7,1118.3,169.97,2236965.13
7,75.03,237.2,233.57,536.53,26.93,32.1,-4,38.37,2017/1/22 20:00,2833.83,1244.37,203.87,559243.53
8,66.97,241.7,210.17,538.3,44.63,56.5,-4.8,44.27,2017/1/22 21:00,4381.43,1905.4,349.17,559243.53
9,66.77,231.13,207.27,519.33,50.27,60.37,-6,55.23,2017/1/22 22:00,4529.17,1979.9,374.07,3
10,69.7,224.13,209.17,515.83,60.83,72.23,-6.9,61.03,2017/1/22 23:00,5304.03,2311.93,451.67,3
11,74.67,226.73,212.57,517.53,81.03,98.53,-7,63.2,2017/1/23,6805.37,2969.57,606,3
12,75.67,225.17,216,503.83,80.8,97.8,-7.1,62.77,2017/1/23 1:00,6766.13,2941.9,600,3
13,77.8,221.07,210.2,495.8,82.3,100.1,-8,66.87,2017/1/23 2:00,6608.6,2900.6,610.67,3
14,71.97,222.5,236.6,495.6,73.47,90.6,-8,68.83,2017/1/23 3:00,6015.07,2638.73,540.7,3
15,71.67,212.97,278.27,480.6,79.13,97.8,-8.27,66.87,2017/1/23 4:00,6404.5,2830.1,588.93,3
16,75.97,196.47,281,465.53,87.4,106.2,-9,69.53,2017/1/23 5:00,7700.27,3311.63,665.53,2796205.67
17,70.63,212,301.27,485.83,80.87,102.7,-9,70.83,2017/1/23 6:00,6695.57,2920.7,615.07,1118484.07
18,71.5,216.87,301.97,483.77,70.5,85.63,-8.5,68.87,2017/1/23 7:00,6109.2,2638.17,529.17,1677724.6
19,78.2,230,257.5,512.93,84.93,103.17,-8.63,70.5,2017/1/23 8:00,7103.87,3086.57,624.43,3
20,80.17,219.17,280.1,502.1,100.9,122.27,-6.73,68.6,2017/1/23 9:00,9165.47,3922.3,781.87,2236965.13
21,78.47,304.2,347.6,560.47,59.87,68.6,-2.93,56.7,2017/1/23 10:00,6287.4,2627.73,463.47,559243.53
22,74.57,376.8,336.8,651.4,42.67,49.47,-0.23,39.4,2017/1/23 11:00,4941.43,2032.57,336.83,559243.53
23,73.37,393.04,331.04,713.81,37.22,43.15,1.26,26.07,2017/1/23 12:00,4642.78,1909.3,297.44,1864138.11
24,76.86,377.9,308.86,719.55,40.9,48.76,3.14,19.79,2017/1/23 13:00,4399.79,1856.07,310,578527.69
25,88.33,401.83,279.2,724.93,49.9,59.5,3.7,22.17,2017/1/23 14:00,4852.07,2055.93,359.13,3
26,76.3,417.93,476,772.4,41.1,48.57,3,19.4,2017/1/23 15:00,4482.77,1876.37,303.87,3
27,114.27,400.7,432.9,729.13,41.03,47.93,2.03,23.77,2017/1/23 16:00,5031.17,2033,320.57,1677724.6
28,97.73,336.27,323.3,659.1,38.03,45.13,0.5,32.27,2017/1/23 17:00,4498.33,1846.27,291.1,1118484.07
29,66.83,260.2,242.4,568.8,35.83,40.97,-1.6,46.67,2017/1/23 18:00,4552.83,1851.6,288.27,2796205.67
30,63.77,234.23,229.33,534.97,42.93,49.2,-4.07,59.77,2017/1/23 19:00,4615.37,1935.57,326.1,1118484.07
31,63.83,220.47,220.17,509.63,47.7,54.5,-5,73.13,2017/1/23 20:00,4930.63,2059.67,358.37,1118484.07
32,63.07,220.6,217.23,514.9,44.37,50.97,-5,77.33,2017/1/23 21:00,4495.27,1914.07,334.33,3
33,72.67,231.5,210.17,531.93,48.2,54.93,-5,79.53,2017/1/23 22:00,4920.93,2075.37,366.3,3
34,77,217.7,217.17,500.77,59.33,68.43,-4.77,80.1,2017/1/23 23:00,6227.07,2580.3,456.93,1677724.6
35,72.83,219.03,217.47,494.27,66.83,76.67,-5,79.93,2017/1/24,6556.37,2762.4,510.9,3
36,72.63,204.17,231.57,455.27,71.97,81.3,-5.93,83,2017/1/24 1:00,6776.77,2852.57,525.6,559243.53
37,69.97,196.67,233.6,462.83,73.4,83.27,-6,85.37,2017/1/24 2:00,6839.17,2890.2,535.63,1118484.07
38,66.1,200.2,236.43,470.43,71.4,80.43,-6.3,86.73,2017/1/24 3:00,6585.77,2793.33,520.5,1118484.07
39,64.3,200,224.47,485.63,76.57,85.87,-6.87,93.7,2017/1/24 4:00,6912.33,2941.57,556.1,1118484.07
40,67.57,233.87,189.07,542.57,77.03,87.73,-6.1,103.9,2017/1/24 5:00,7447.23,3142.8,583.77,559243.53
41,70.03,225.07,208.6,503.07,93.13,104.3,-6,104.7,2017/1/24 6:00,9023.87,3789.73,712.4,559243.53
42,66.83,206.5,226.03,472.03,102.47,115.5,-6,107,2017/1/24 7:00,9390.4,3980.83,774.17,559243.53
43,71.07,208.23,222.07,482.1,111.73,126.6,-6,107,2017/1/24 8:00,10486.13,4442.1,862.8,1118484.07
