"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082015110400906","71","526.87","331.67","340.7","12.67","14.67","-0.33","23.77","2017/1/22 13:00:00","1498.73","792.07","87.07","3"
"2","XH8082015110400906","75.67","565.4","317.37","350.03","15.13","17.9","0.07","21.97","2017/1/22 14:00:00","1792.03","911.93","114.07","3"
"3","XH8082015110400906","89.7","564.33","314.13","368.3","19.27","22.4","1.43","19.5","2017/1/22 15:00:00","2236.1","1080.07","145.17","3"
"4","XH8082015110400906","91.17","503.53","325.6","373.6","26","30.3","2","18.7","2017/1/22 16:00:00","2979.43","1364.5","202.8","3"
"5","XH8082015110400906","92.57","438.87","314.57","369.87","28.43","33.2","1","22.3","2017/1/22 17:00:00","3219.53","1461.67","219.63","3"
"6","XH8082015110400906","74.07","413.33","270.57","363.7","25.43","29.13","-2.03","39.53","2017/1/22 18:00:00","2857.03","1326.63","196.6","3"
"7","XH8082015110400906","68.1","375.07","220.53","305.2","25.27","30.03","-4","44.83","2017/1/22 19:00:00","2962.57","1354.2","200.73","3"
"8","XH8082015110400906","74.9","360.2","204.43","286.3","35.7","41.77","-5","49.47","2017/1/22 20:00:00","3916.97","1750.27","289.33","3"
"9","XH8082015110400906","75.07","346.6","213.4","272.5","36.43","43.1","-5.43","55","2017/1/22 21:00:00","3991.83","1806.57","308.83","3"
"10","XH8082015110400906","86.03","322.2","238.13","245.03","57.77","66.7","-6.17","64","2017/1/22 22:00:00","6622.27","2803.8","497.03","3"
"11","XH8082015110400906","87.67","320.67","242.63","234.53","68.17","79.07","-7","67.83","2017/1/22 23:00:00","7776.63","3296.2","589.07","3"
"12","XH8082015110400906","90.9","324.57","237.33","233.63","81.37","94.47","-7.97","69.9","2017/1/23","9096.47","3835.47","715","3"
"13","XH8082015110400906","92.6","330.67","226.83","235.6","86.3","101","-8","70.87","2017/1/23 1:00:00","9691.33","4058.03","763.9","3"
"14","XH8082015110400906","105.27","330.4","237.2","230.5","89.63","104.6","-7.63","69.87","2017/1/23 2:00:00","10065.9","4252.27","811.73","3"
"15","XH8082015110400906","98.7","318.47","260.27","214.73","88.73","103.1","-8.07","70.2","2017/1/23 3:00:00","10025.5","4195.93","790.77","3"
"16","XH8082015110400906","93.17","316.43","319.77","208.23","86.73","101.27","-8.83","70.7","2017/1/23 4:00:00","9758.93","4074.87","768","3"
"17","XH8082015110400906","94.73","322","457.57","215.23","83.3","96.7","-8.5","69.23","2017/1/23 5:00:00","9327.43","3925.57","760.9","4473927.27"
"18","XH8082015110400906","93.69","308.38","470.38","206.93","86.48","101.83","-8.62","69.86","2017/1/23 6:00:00","9894.14","4151.79","796.07","64794768.24"
"19","XH8082015110400906","92.53","312.67","453.47","201.37","89.6","106.4","-9.3","72.27","2017/1/23 7:00:00","9975","4172.77","798.23","134217731"
"20","XH8082015110400906","92.97","307.33","401.33","207","87.33","102.37","-9.37","73.93","2017/1/23 8:00:00","9696.63","4045.97","770.1","134217731"
"21","XH8082015110400906","106.03","325.23","374.43","235.57","117.37","135.9","-7.47","74.23","2017/1/23 9:00:00","13004.13","5408.5","1037.9","8947851.53"
"22","XH8082015110400906","97.63","410.2","462.9","279.3","68.73","79.9","-3.07","60.23","2017/1/23 10:00:00","7630.7","3163.93","571.97","3"
"23","XH8082015110400906","90.97","488.4","491.77","298.2","39.9","46.43","-0.27","43.13","2017/1/23 11:00:00","4487.73","1940.7","315.33","3"
"24","XH8082015110400906","94.07","507.93","433.73","355.67","40.93","47.47","0.97","36.47","2017/1/23 12:00:00","4681.47","1994.83","324.23","3"
"25","XH8082015110400906","99.6","518.1","423.2","396","49.4","56.53","1.07","36.7","2017/1/23 13:00:00","5581.87","2328.83","391.23","3"
"26","XH8082015110400906","93.4","585.2","308.73","415.27","44.13","50.97","2","30.27","2017/1/23 14:00:00","5023.37","2130.83","354.33","3"
"27","XH8082015110400906","90.4","648.9","1080.87","461.13","42.3","49.07","2","24.9","2017/1/23 15:00:00","4840.8","2058.3","339.2","3"
"28","XH8082015110400906","142.13","578.57","282.33","463.67","45.43","52.87","1.63","32.5","2017/1/23 16:00:00","5205.03","2176.53","361.3","3"
"29","XH8082015110400906","107.6","485.93","251.37","407.47","42.8","49.77","0.27","38.7","2017/1/23 17:00:00","4868.1","2071.4","346.43","3"
