STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
XH8082016011501245,494.57,435.33,673.3,697.2,167.3,203.63,0,84.67,2017-1-4 18:00,,,,
XH8082016011501245,519.03,450.83,699.93,709.07,197.77,240.4,0,85.5,2017-1-4 19:00,,,,
XH8082016011501245,484.27,445.27,767.1,689.17,163.53,197.77,0,86.7,2017-1-4 20:00,,,,
XH8082016011501245,460.9,445.7,728.1,685.43,152.77,182.77,0,86.2,2017-1-4 21:00,,,,
XH8082016011501245,459.77,454.3,640.23,685.4,158.27,198.93,0,86.5,2017-1-4 22:00,,,,
XH8082016011501245,462.57,474.73,738.83,676.67,165.93,204.2,0.43,87.63,2017-1-4 23:00,,,,
XH8082016011501245,468.2,459.6,797.27,677.8,190.97,227.97,1.43,88,2017-1-5,,,,
XH8082016011501245,472.47,494.47,695,709.7,229.9,277.4,2.27,88.7,2017-1-5 01:00,,,,
XH8082016011501245,450.07,515.83,752.97,711.73,354.17,526.03,3,89.57,2017-1-5 02:00,,,,
XH8082016011501245,433.5,495.73,747.23,713.57,286.4,427.3,3,90.23,2017-1-5 03:00,,,,
XH8082016011501245,442.07,509.4,741,701.63,147.97,174.63,3,89.53,2017-1-5 04:00,,,,
XH8082016011501245,444.27,484.93,725.83,691.93,142.6,165.93,3,88.33,2017-1-5 05:00,,,,
XH8082016011501245,459.3,491.5,705.8,696.47,159.9,186.5,3,88.27,2017-1-5 06:00,,,,
XH8082016011501245,445.03,452.73,743.77,680.33,124.4,143.07,3,87.23,2017-1-5 07:00,,,,
XH8082016011501245,442.67,455.7,634.9,680.03,102.93,118.17,3,87.23,2017-1-5 08:00,,,,
XH8082016011501245,456.57,492.37,607.73,715.73,111.57,127.57,3,86.37,2017-1-5 09:00,,,,
XH8082016011501245,442.33,548.93,587.4,747.77,80.13,91.33,3.23,83.43,2017-1-5 10:00,,,,
XH8082016011501245,416.6,569.93,629.13,752.57,56.5,64.6,4,80.6,2017-1-5 11:00,,,,
XH8082016011501245,406.3,609.9,607.77,770.37,55.9,63.37,4,80.57,2017-1-5 12:00,,,,
XH8082016011501245,396.23,646.93,595.27,782.93,48.03,54.83,4,79.57,2017-1-5 13:00,,,,
XH8082016011501245,388.87,650.4,583.73,783.3,33.3,38.3,4,79.07,2017-1-5 14:00,,,,
XH8082016011501245,387.2,601.47,588.6,777.47,31.83,37.1,4,79.6,2017-1-5 15:00,,,,
XH8082016011501245,387.97,571.57,598.3,771.07,30.5,35,4,79.7,2017-1-5 16:00,,,,
XH8082016011501245,389.37,565.97,596.03,774.6,37.23,42.2,3.2,80.77,2017-1-5 17:00,,,,
