"STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME"
"XHPROAMPS313","0.967","36","26","200","107","143","26.502","72.225","2016/9/14 18:00:00"
"XHPROAMPS313","0.949","36","39","110","114","160","24.648","78.142","2016/9/15"
"XHPROAMPS313","0.993","41","74","95","115","187","24.285","80.492","2016/9/15 1:00:00"
"XHPROAMPS313","0.982","49","80","86","132","189","23.929","81.583","2016/9/15 2:00:00"
"XHPROAMPS313","1.218","59","109","70","138","229","23.387","82.583","2016/9/15 4:00:00"
"XHPROAMPS313","1.066","48","110","76","128","183","23.193","82.227","2016/9/15 5:00:00"
"XHPROAMPS313","1.306","60","97","60","177","228","23.17","81.406","2016/9/15 6:00:00"
"XHPROAMPS313","1.355","64","75","65","144","211","23.075","82.358","2016/9/15 7:00:00"
"XHPROAMPS313","1.486","89","93","74","157","233","23.467","82.742","2016/9/15 8:00:00"
"XHPROAMPS313","1.517","69","100","117","171","238","24.298","81.308","2016/9/15 9:00:00"
"XHPROAMPS313","1.749","55","121","110","186","257","25.714","77.606","2016/9/15 10:00:00"
"XHPROAMPS313","1.716","46","108","174","184","242","26.442","74.181","2016/9/15 11:00:00"
"XHPROAMPS313","1.395","35","72","227","150","191","27.682","67.178","2016/9/15 12:00:00"
"XHPROAMPS313","1.189","31","52","242","131","161","28.371","63.639","2016/9/15 13:00:00"
"XHPROAMPS313","1.013","28","35","237","110","116","29.283","59.172","2016/9/15 14:00:00"
"XHPROAMPS313","0.972","28","31","243","117","154","29.556","56.902","2016/9/15 15:00:00"
"XHPROAMPS313","1.017","32","34","244","93","178","29.448","61.565","2016/9/15 16:00:00"
"XHPROAMPS313","0.98","34","30","231","126","147","28.289","68.181","2016/9/15 17:00:00"
"XHPROAMPS313","0.975","35","23","216","120","162","27.334","72.767","2016/9/15 18:00:00"
"XHPROAMPS313","1.038","33","21","217","115","182","26.636","75.464","2016/9/15 19:00:00"
"XHPROAMPS313","1.039","27","17","215","136","186","26.254","78.061","2016/9/15 20:00:00"
"XHPROAMPS313","1.238","29","48","141","155","192","25.238","79.414","2016/9/16 2:00:00"
"XHPROAMPS313","1.266","35","37","115","151","255","24.789","83.056","2016/9/16 3:00:00"
"XHPROAMPS313","1.267","39","35","89","182","229","24.416","85.638","2016/9/16 4:00:00"
"XHPROAMPS313","1.278","57","38","54","222","257","24.053","87.517","2016/9/16 5:00:00"
"XHPROAMPS313","1.307","52","40","45","193","260","23.755","89.233","2016/9/16 6:00:00"
"XHPROAMPS313","1.529","52","48","41","227","294","23.611","90.506","2016/9/16 7:00:00"
"XHPROAMPS313","1.493","48","59","96","197","253","25.302","83.736","2016/9/16 9:00:00"
"XHPROAMPS313","1.436","38","67","143","201","248","26.372","78.114","2016/9/16 10:00:00"
"XHPROAMPS313","1.304","33","59","203","155","204","27.621","67.942","2016/9/16 11:00:00"
"XHPROAMPS313","1.12","30","37","209","127","148","29.083","60.78","2016/9/16 12:00:00"
"XHPROAMPS313","1.048","32","32","233","116","187","29.556","58.547","2016/9/16 15:00:00"
"XHPROAMPS313","1.162","33","36","251","153","185","28.696","62.239","2016/9/16 16:00:00"
"XHPROAMPS313","1.1","34","29","237","143","180","28.262","62.631","2016/9/16 17:00:00"
"XHPROAMPS313","1.092","40","24","230","142","214","27.49","69.081","2016/9/16 18:00:00"
"XHPROAMPS313","1.389","45","25","221","211","266","26.592","78.833","2016/9/16 19:00:00"
"XHPROAMPS313","1.189","36","22","185","155","201","26.697","76.43","2016/9/16 20:00:00"
