STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
XHWAT2014043000195,127,928,450,261,200,262,16,91,2015-10-1,,,,
XHWAT2014043000195,106,907,663,234,69,92,16,69,2015-10-1 01:00,,,,
XHWAT2014043000195,106,1007,541,272,13,26,18,40,2015-10-1 02:00,,,,
XHWAT2014043000195,101,942,484,253,14,22,17,37,2015-10-1 03:00,,,,
XHWAT2014043000195,87,938,515,237,13,18,16,38,2015-10-1 04:00,,,,
XHWAT2014043000195,77,847,569,213,14,18,15,42,2015-10-1 05:00,,,,
XHWAT2014043000195,76,851,644,198,16,20,15,44,2015-10-1 06:00,,,,
XHWAT2014043000195,77,861,896,209,15,20,16,40,2015-10-1 07:00,,,,
XHWAT2014043000195,77,948,627,234,13,17,17,30,2015-10-1 08:00,,,,
XHWAT2014043000195,91,947,473,233,12,16,20,24,2015-10-1 09:00,,,,
XHWAT2014043000195,84,965,533,215,12,15,21,22,2015-10-1 10:00,,,,
XHWAT2014043000195,82,960,474,212,12,15,22,20,2015-10-1 11:00,,,,
XHWAT2014043000195,82,904,568,203,12,14,23,19,2015-10-1 12:00,,,,
XHWAT2014043000195,82,958,396,211,12,14,25,18,2015-10-1 13:00,,,,
XHWAT2014043000195,83,951,363,216,12,15,26,18,2015-10-1 14:00,,,,
XHWAT2014043000195,83,917,390,204,12,17,26,18,2015-10-1 15:00,,,,
XHWAT2014043000195,82,896,414,196,14,21,26,19,2015-10-1 16:00,,,,
XHWAT2014043000195,80,908,369,209,22,33,25,22,2015-10-1 17:00,,,,
XHWAT2014043000195,86,946,353,251,36,55,22,29,2015-10-1 18:00,,,,
XHWAT2014043000195,100,920,416,238,87,128,20,35,2015-10-1 19:00,,,,
XHWAT2014043000195,112,925,420,241,110,156,20,38,2015-10-1 20:00,,,,
XHWAT2014043000195,95,946,405,256,22,42,24,23,2015-10-2 09:00,,,,
XHWAT2014043000195,96,941,379,256,19,41,26,20,2015-10-2 10:00,,,,
XHWAT2014043000195,102,942,339,248,19,38,27,18,2015-10-2 11:00,,,,
XHWAT2014043000195,105,937,340,238,23,40,29,17,2015-10-2 12:00,,,,
XHWAT2014043000195,107,947,317,238,24,42,30,17,2015-10-2 13:00,,,,
XHWAT2014043000195,110,958,311,225,21,41,31,18,2015-10-2 14:00,,,,
XHWAT2014043000195,104,983,317,228,22,40,29,19,2015-10-2 15:00,,,,
XHWAT2014043000195,104,843,533,175,22,40,29,20,2015-10-2 16:00,,,,
XHWAT2014043000195,110,855,552,189,25,45,28,21,2015-10-2 17:00,,,,
XHWAT2014043000195,104,979,425,284,40,71,25,31,2015-10-2 18:00,,,,
XHWAT2014043000195,105,1013,408,305,63,99,22,35,2015-10-2 19:00,,,,
XHWAT2014043000195,112,1035,415,330,90,136,21,38,2015-10-2 20:00,,,,
XHWAT2014043000195,116,1038,418,341,111,162,20,41,2015-10-2 21:00,,,,
XHWAT2014043000195,125,1012,446,330,131,190,19,44,2015-10-2 22:00,,,,
XHWAT2014043000195,131,994,564,282,116,177,19,47,2015-10-2 23:00,,,,
XHWAT2014043000195,114,1006,506,293,60,104,18,49,2015-10-3,,,,
XHWAT2014043000195,99,987,504,270,42,74,18,49,2015-10-3 01:00,,,,
XHWAT2014043000195,102,894,773,223,39,70,18,46,2015-10-3 02:00,,,,
XHWAT2014043000195,137,874,1085,203,34,66,19,39,2015-10-3 03:00,,,,
XHWAT2014043000195,116,905,735,216,43,80,18,45,2015-10-3 04:00,,,,
XHWAT2014043000195,136,845,1075,184,43,79,17,46,2015-10-3 05:00,,,,
XHWAT2014043000195,159,909,851,214,43,78,17,45,2015-10-3 06:00,,,,
XHWAT2014043000195,124,936,611,228,54,97,17,50,2015-10-3 07:00,,,,
XHWAT2014043000195,128,962,609,229,60,104,18,48,2015-10-3 08:00,,,,
XHWAT2014043000195,131,944,670,211,51,79,22,40,2015-10-3 09:00,,,,
XHWAT2014043000195,120,929,607,222,42,58,26,28,2015-10-3 10:00,,,,
XHWAT2014043000195,113,974,575,242,47,62,29,22,2015-10-3 11:00,,,,
XHWAT2014043000195,102,1000,442,260,36,46,29,20,2015-10-3 12:00,,,,
XHWAT2014043000195,103,1060,360,281,43,55,29,21,2015-10-3 13:00,,,,
XHWAT2014043000195,106,1097,313,312,50,64,28,23,2015-10-3 14:00,,,,
XHWAT2014043000195,96,1106,288,318,57,71,27,25,2015-10-3 15:00,,,,
XHWAT2014043000195,95,1094,287,328,52,70,26,28,2015-10-3 16:00,,,,
XHWAT2014043000195,101,1053,314,312,71,96,25,34,2015-10-3 17:00,,,,
XHWAT2014043000195,101,1019,402,317,65,106,-9,18,2015-10-3 18:00,,,,
XHWAT2014043000195,97,984,423,349,92,154,-13,16,2015-10-3 19:00,,,,
XHWAT2014043000195,104,984,458,351,92,150,-13,16,2015-10-3 20:00,,,,
XHWAT2014043000195,106,934,473,314,101,165,-13,16,2015-10-3 21:00,,,,
XHWAT2014043000195,113,969,485,338,132,215,-13,16,2015-10-3 22:00,,,,
XHWAT2014043000195,121,896,556,290,174,279,-13,16,2015-10-3 23:00,,,,
XHWAT2014043000195,108,882,529,293,109,177,-13,16,2015-10-4,,,,
XHWAT2014043000195,106,935,473,303,67,108,-13,16,2015-10-4 01:00,,,,
XHWAT2014043000195,114,892,498,273,60,93,-13,16,2015-10-4 02:00,,,,
XHWAT2014043000195,121,900,518,277,58,93,-13,16,2015-10-4 03:00,,,,
XHWAT2014043000195,122,896,518,272,88,129,-13,16,2015-10-4 04:00,,,,
XHWAT2014043000195,121,873,513,269,68,107,-13,16,2015-10-4 05:00,,,,
XHWAT2014043000195,125,896,539,270,71,112,-13,16,2015-10-4 06:00,,,,
XHWAT2014043000195,128,871,546,271,74,112,-13,16,2015-10-4 07:00,,,,
XHWAT2014043000195,129,891,563,280,76,122,-13,16,2015-10-4 08:00,,,,
XHWAT2014043000195,137,849,674,242,82,129,-13,16,2015-10-4 09:00,,,,
XHWAT2014043000195,140,912,643,274,85,131,-13,16,2015-10-4 10:00,,,,
XHWAT2014043000195,142,923,693,265,72,110,-13,16,2015-10-4 11:00,,,,
XHWAT2014043000195,129,1116,638,331,80,119,-13,16,2015-10-4 12:00,,,,
XHWAT2014043000195,121,1227,491,384,85,122,-13,16,2015-10-4 13:00,,,,
XHWAT2014043000195,122,1210,422,384,88,127,-13,16,2015-10-4 14:00,,,,
XHWAT2014043000195,110,1365,296,411,73,110,-13,16,2015-10-4 15:00,,,,
XHWAT2014043000195,108,1535,250,444,74,114,-13,16,2015-10-4 16:00,,,,
XHWAT2014043000195,113,1793,160,534,130,205,-13,16,2015-10-4 17:00,,,,
XHWAT2014043000195,116,1525,244,516,149,241,-13,16,2015-10-4 18:00,,,,
XHWAT2014043000195,114,1211,407,440,177,282,-13,16,2015-10-4 19:00,,,,
XHWAT2014043000195,133,1169,546,406,210,324,-13,16,2015-10-5 10:00,,,,
XHWAT2014043000195,139,1486,652,469,187,283,-13,16,2015-10-5 11:00,,,,
XHWAT2014043000195,117,1462,447,453,118,178,-13,16,2015-10-5 12:00,,,,
XHWAT2014043000195,112,1624,239,479,108,163,-13,16,2015-10-5 13:00,,,,
