"STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"XHWAT2014043000196","76","267","151","194","183","199","15","92","2015/10/1","","","",""
"XHWAT2014043000196","61","253","272","177","61","67","16","70","2015/10/1 1:00:00","","","",""
"XHWAT2014043000196","61","306","187","219","10","13","18","40","2015/10/1 2:00:00","","","",""
"XHWAT2014043000196","57","285","170","196","12","12","17","38","2015/10/1 3:00:00","","","",""
"XHWAT2014043000196","50","273","182","176","11","12","16","39","2015/10/1 4:00:00","","","",""
"XHWAT2014043000196","42","235","198","155","12","13","15","43","2015/10/1 5:00:00","","","",""
"XHWAT2014043000196","41","227","235","145","13","14","15","45","2015/10/1 6:00:00","","","",""
"XHWAT2014043000196","42","237","388","142","13","14","16","40","2015/10/1 7:00:00","","","",""
"XHWAT2014043000196","43","276","236","188","10","11","18","30","2015/10/1 8:00:00","","","",""
"XHWAT2014043000196","50","295","157","208","10","12","20","23","2015/10/1 9:00:00","","","",""
"XHWAT2014043000196","47","305","196","190","10","11","21","22","2015/10/1 10:00:00","","","",""
"XHWAT2014043000196","48","279","169","201","10","11","22","20","2015/10/1 11:00:00","","","",""
"XHWAT2014043000196","48","280","220","185","10","10","23","20","2015/10/1 12:00:00","","","",""
"XHWAT2014043000196","49","287","144","212","10","10","24","19","2015/10/1 13:00:00","","","",""
"XHWAT2014043000196","50","285","131","219","10","10","25","19","2015/10/1 14:00:00","","","",""
"XHWAT2014043000196","51","272","138","212","10","12","26","19","2015/10/1 15:00:00","","","",""
"XHWAT2014043000196","51","268","143","206","12","13","26","19","2015/10/1 16:00:00","","","",""
"XHWAT2014043000196","49","275","114","222","16","17","25","22","2015/10/1 17:00:00","","","",""
"XHWAT2014043000196","49","291","104","244","30","33","22","29","2015/10/1 18:00:00","","","",""
"XHWAT2014043000196","57","277","128","210","74","82","20","36","2015/10/1 19:00:00","","","",""
"XHWAT2014043000196","66","270","129","213","89","100","20","38","2015/10/1 20:00:00","","","",""
"XHWAT2014043000196","54","306","134","248","18","22","25","23","2015/10/2 9:00:00","","","",""
"XHWAT2014043000196","55","304","127","253","16","19","26","20","2015/10/2 10:00:00","","","",""
"XHWAT2014043000196","59","309","115","257","15","18","27","18","2015/10/2 11:00:00","","","",""
"XHWAT2014043000196","62","310","117","255","16","18","29","17","2015/10/2 12:00:00","","","",""
"XHWAT2014043000196","63","319","113","257","16","20","30","18","2015/10/2 13:00:00","","","",""
"XHWAT2014043000196","64","312","113","264","18","21","29","19","2015/10/2 14:00:00","","","",""
"XHWAT2014043000196","64","312","114","269","17","20","29","20","2015/10/2 15:00:00","","","",""
"XHWAT2014043000196","64","267","215","187","18","20","29","20","2015/10/2 16:00:00","","","",""
"XHWAT2014043000196","70","267","229","187","19","22","28","22","2015/10/2 17:00:00","","","",""
"XHWAT2014043000196","63","336","132","256","35","40","25","31","2015/10/2 18:00:00","","","",""
"XHWAT2014043000196","61","328","127","270","54","61","22","35","2015/10/2 19:00:00","","","",""
"XHWAT2014043000196","66","352","123","278","78","87","21","39","2015/10/2 20:00:00","","","",""
"XHWAT2014043000196","69","339","129","287","97","107","20","41","2015/10/2 21:00:00","","","",""
"XHWAT2014043000196","77","311","141","267","111","124","19","44","2015/10/2 22:00:00","","","",""
"XHWAT2014043000196","86","285","201","235","103","116","19","47","2015/10/2 23:00:00","","","",""
"XHWAT2014043000196","71","281","163","229","56","64","18","50","2015/10/3","","","",""
"XHWAT2014043000196","58","270","156","211","38","43","18","50","2015/10/3 1:00:00","","","",""
"XHWAT2014043000196","63","230","509","169","32","38","18","46","2015/10/3 2:00:00","","","",""
"XHWAT2014043000196","89","243","570","155","29","34","19","40","2015/10/3 3:00:00","","","",""
"XHWAT2014043000196","71","245","315","160","36","42","17","45","2015/10/3 4:00:00","","","",""
"XHWAT2014043000196","86","223","574","127","36","41","17","47","2015/10/3 5:00:00","","","",""
